"","Country","Hotels","Date"
"1","Puerto Rico","569",2017-04-18
"2","Bermuda","35",2017-04-18
"3","Saint Barts (St. Barts) hotels","150",2017-04-18
"4","Iceland","1566",2017-04-18
"5","Haiti","91",2017-04-18
"6","Canada","11611",2017-04-18
"7","Cuba","76",2017-04-18
"8","Turks & Caicos Islands (Turks, Ccs Is) hotels","103",2017-04-18
"9","Singapore","484",2017-04-18
"10","United Kingdom (the UK) hotels","45841",2017-04-18
"11","Ireland","4588",2017-04-18
"12","Bahamas","234",2017-04-18
"13","Guam","37",2017-04-18
"14","Israel","3086",2017-04-18
"15","Barbados","400",2017-04-18
"16","Costa Rica","3367",2017-04-18
"17","Cayman Islands","150",2017-04-18
"18","Saint Martin","300",2017-04-18
"19","Aruba","355",2017-04-18
"20","Mexico","12013",2017-04-18
"21","India","26443",2017-04-18
"22","Germany","46809",2017-04-18
"23","Martinique","300",2017-04-18
"24","Malta","1159",2017-04-18
"25","Philippines","3833",2017-04-18
"26","Italy","139755",2017-04-18
"27","Fiji","212",2017-04-18
"28","Guyana","28",2017-04-18
"29","Jamaica","904",2017-04-18
"30","U.S. Virgin Islands (US Virgin Is) hotels","199",2017-04-18
"31","New Zealand","5216",2017-04-18
"32","Maldives","572",2017-04-18
"33","South Africa","11490",2017-04-18
"34","Guadeloupe","642",2017-04-18
"35","Dominican Republic (Dominican Rep) hotels","1666",2017-04-18
"36","Greece","26513",2017-04-18
"37","Bahrain","165",2017-04-18
"38","France","73277",2017-04-18
"39","Saint Lucia","173",2017-04-18
"40","Panama","952",2017-04-18
"41","Greenland","25",2017-04-18
"42","Belize","472",2017-04-18
"43","Turkey","15071",2017-04-18
"44","Samoa","68",2017-04-18
"45","Belgium","7311",2017-04-18
"46","Thailand","18957",2017-04-18
"47","Malaysia","6396",2017-04-18
"48","Vietnam","7822",2017-04-18
"49","Ghana","792",2017-04-18
"50","Austria","24448",2017-04-18
"51","Luxembourg","326",2017-04-18
"52","South Korea","4759",2017-04-18
"53","Colombia","7669",2017-04-18
"54","Trinidad and Tobago (Trinidad Tbgo) hotels","146",2017-04-18
"55","Seychelles","459",2017-04-18
"56","Solomon Islands (Solomon Is) hotels","22",2017-04-18
"57","Oman","318",2017-04-18
"58","Australia","16755",2017-04-18
"59","St. Maarten","194",2017-04-18
"60","Mauritius","1063",2017-04-18
"61","Macau","67",2017-04-18
"62","Iraq","93",2017-04-18
"63","Liechtenstein","37",2017-04-18
"64","Japan","12266",2017-04-18
"65","Denmark","23428",2017-04-18
"66","Argentina","11509",2017-04-18
"67","Tanzania","1441",2017-04-18
"68","Qatar","127",2017-04-18
"69","Nigeria","879",2017-04-18
"70","Monaco","30",2017-04-18
"71","Kuwait","129",2017-04-18
"72","Croatia","69490",2017-04-18
"73","Spain","66515",2017-04-18
"74","Anguilla","79",2017-04-18
"75","Curaçao","385",2017-04-18
"76","Portugal","20502",2017-04-18
"77","Norway","4354",2017-04-18
"78","Sri Lanka","8489",2017-04-18
"79","Senegal","447",2017-04-18
"80","Finland","2697",2017-04-18
