"","Country","Hotels","Date"
"166","Uzbekistan","226",2017-03-27
"167","Uganda","654",2017-03-27
"168","Lebanon","389",2017-03-27
"169","Latvia","2161",2017-03-27
"170","Kazakhstan","1511",2017-03-27
"171","Gibraltar","16",2017-03-27
"172","Ivory Coast","277",2017-03-27
"173","Chad","10",2017-03-27
"174","Serbia","3508",2017-03-27
"175","Togo","114",2017-03-27
"176","Saint Kitts and Nevis (St. Kitts, Nev) hotels","35",2017-03-27
"177","Namibia","440",2017-03-27
"178","Myanmar","1123",2017-03-27
"179","Mayotte","9",2017-03-27
"180","Libya","4",2017-03-27
"181","Grenada","60",2017-03-27
"182","Equatorial Guinea (Eq. Guinea) hotels","8",2017-03-27
"183","Djibouti","14",2017-03-27
"184","Burundi","28",2017-03-27
"185","Algeria","62",2017-03-27
