"","Country","Hotels","Date"
"1","Puerto Rico","574",2017-04-24
"2","Bermuda","35",2017-04-24
"3","Saint Barts (St. Barts) hotels","151",2017-04-24
"4","Iceland","1568",2017-04-24
"5","Haiti","94",2017-04-24
"6","Canada","11670",2017-04-24
"7","Cuba","85",2017-04-24
"8","Turks & Caicos Islands (Turks, Ccs Is) hotels","107",2017-04-24
"9","Singapore","489",2017-04-24
"10","United Kingdom (the UK) hotels","46072",2017-04-24
"11","Ireland","4620",2017-04-24
"12","Bahamas","235",2017-04-24
"13","Guam","37",2017-04-24
"14","Israel","3105",2017-04-24
"15","Barbados","402",2017-04-24
"16","Costa Rica","3393",2017-04-24
"17","Cayman Islands","153",2017-04-24
"18","Saint Martin","300",2017-04-24
"19","Aruba","353",2017-04-24
"20","Mexico","12337",2017-04-24
"21","India","26915",2017-04-24
"22","Germany","47088",2017-04-24
"23","Martinique","305",2017-04-24
"24","Malta","1178",2017-04-24
"25","Philippines","3889",2017-04-24
"26","Italy","140579",2017-04-24
"27","Fiji","215",2017-04-24
"28","Guyana","28",2017-04-24
"29","Jamaica","912",2017-04-24
"30","U.S. Virgin Islands (US Virgin Is) hotels","162",2017-04-24
"31","New Zealand","5269",2017-04-24
"32","Maldives","569",2017-04-24
"33","South Africa","11590",2017-04-24
"34","Guadeloupe","649",2017-04-24
"35","Dominican Republic (Dominican Rep) hotels","1677",2017-04-24
"36","Greece","26676",2017-04-24
"37","Bahrain","165",2017-04-24
"38","France","73595",2017-04-24
"39","Saint Lucia","175",2017-04-24
"40","Panama","902",2017-04-24
"41","Greenland","25",2017-04-24
"42","Belize","470",2017-04-24
"43","Turkey","15153",2017-04-24
"44","Samoa","69",2017-04-24
"45","Belgium","7325",2017-04-24
"46","Thailand","19098",2017-04-24
"47","Malaysia","6546",2017-04-24
"48","Vietnam","7893",2017-04-24
"49","Ghana","796",2017-04-24
"50","Austria","24460",2017-04-24
"51","Luxembourg","326",2017-04-24
"52","South Korea","4817",2017-04-24
"53","Colombia","7736",2017-04-24
"54","Trinidad and Tobago (Trinidad Tbgo) hotels","147",2017-04-24
"55","Seychelles","461",2017-04-24
"56","Solomon Islands (Solomon Is) hotels","22",2017-04-24
"57","Oman","321",2017-04-24
"58","Australia","16863",2017-04-24
"59","St. Maarten","194",2017-04-24
"60","Mauritius","1076",2017-04-24
"61","Macau","67",2017-04-24
"62","Iraq","94",2017-04-24
"63","Liechtenstein","37",2017-04-24
"64","Japan","12399",2017-04-24
"65","Denmark","23338",2017-04-24
"66","Argentina","11637",2017-04-24
"67","Tanzania","1447",2017-04-24
"68","Qatar","127",2017-04-24
"69","Nigeria","894",2017-04-24
"70","Monaco","30",2017-04-24
"71","Kuwait","129",2017-04-24
"72","Croatia","69558",2017-04-24
"73","Spain","67037",2017-04-24
"74","Anguilla","80",2017-04-24
"75","Curaçao","386",2017-04-24
"76","Portugal","20758",2017-04-24
"77","Norway","4334",2017-04-24
"78","Sri Lanka","8595",2017-04-24
"79","Senegal","452",2017-04-24
"80","Finland","2712",2017-04-24
"81","Sweden","6971",2017-04-24
"82","Gambia","103",2017-04-24
"83","Tunisia","668",2017-04-24
"84","Poland","23458",2017-04-24
"85","Tonga","58",2017-04-24
"86","Peru","4724",2017-04-24
"87","Ecuador","2340",2017-04-24
"88","United Arab Emirates (U.A. Emirates) hotels","1665",2017-04-24
"89","Saudi Arabia","2482",2017-04-24
"90","Jordan","557",2017-04-24
"91","Cyprus","3769",2017-04-24
"92","Switzerland","11055",2017-04-24
"93","Dominica","114",2017-04-24
"94","Chile","9234",2017-04-24
"95","Hungary","11396",2017-04-24
"96","Morocco","4938",2017-04-24
"97","Faroe Islands","34",2017-04-24
"98","Egypt","1517",2017-04-24
"99","China","48554",2017-04-24
"100","New Caledonia","46",2017-04-24
"101","Ethiopia","435",2017-04-24
"102","Armenia","1367",2017-04-24
"103","Ukraine","6758",2017-04-24
"104","Nicaragua","791",2017-04-24
"105","Netherlands","10915",2017-04-24
"106","Romania","9136",2017-04-24
"107","Cook Islands","174",2017-04-24
"108","Azerbaijan","707",2017-04-24
"109","Guinea","22",2017-04-24
"110","Cape Verde","431",2017-04-24
"111","Montenegro","5346",2017-04-24
"112","Vanuatu","159",2017-04-24
"113","Taiwan","5408",2017-04-24
"114","Latvia","2227",2017-04-24
"115","French Polynesia (Fr Polynesia) hotels","270",2017-04-24
"116","Bhutan","57",2017-04-24
"117","Myanmar","1140",2017-04-24
"118","Mozambique","207",2017-04-24
"119","Micronesia","5",2017-04-24
"120","Kenya","1968",2017-04-24
"121","Cambodia","2467",2017-04-24
"122","Brunei (Brunei D.) hotels","32",2017-04-24
"123","Bolivia","580",2017-04-24
"124","Slovenia","3346",2017-04-24
"125","Rwanda","245",2017-04-24
"126","El Salvador","237",2017-04-24
"127","Bulgaria","8484",2017-04-24
"128","Angola","93",2017-04-24
"129","Andorra","488",2017-04-24
"130","Pakistan","274",2017-04-24
"131","Indonesia","12952",2017-04-24
"132","Equatorial Guinea (Eq. Guinea) hotels","9",2017-04-24
"133","Kosovo","138",2017-04-24
"134","Czech Republic (Czech Rep.) hotels","11227",2017-04-24
"135","Ivory Coast","295",2017-04-24
"136","Cameroon","221",2017-04-24
"137","Belarus","2659",2017-04-24
"138","Moldova","387",2017-04-24
"139","Lithuania","3009",2017-04-24
"140","Lebanon","392",2017-04-24
"141","Guatemala","702",2017-04-24
"142","French Guiana","33",2017-04-24
"143","Albania","1817",2017-04-24
"144","Uzbekistan","231",2017-04-24
