"","Country","Hotels","Date"
"1","Puerto Rico","571",2017-04-20
"2","Bermuda","35",2017-04-20
"3","Saint Barts (St. Barts) hotels","151",2017-04-20
"4","Iceland","1567",2017-04-20
"5","Haiti","94",2017-04-20
"6","Canada","11646",2017-04-20
"7","Cuba","76",2017-04-20
"8","Turks & Caicos Islands (Turks, Ccs Is) hotels","106",2017-04-20
"9","Singapore","487",2017-04-20
"10","United Kingdom (the UK) hotels","45935",2017-04-20
"11","Ireland","4605",2017-04-20
"12","Bahamas","234",2017-04-20
"13","Guam","37",2017-04-20
"14","Israel","3095",2017-04-20
"15","Barbados","402",2017-04-20
"16","Costa Rica","3387",2017-04-20
"17","Cayman Islands","150",2017-04-20
"18","Saint Martin","300",2017-04-20
"19","Aruba","353",2017-04-20
"20","Mexico","12191",2017-04-20
"21","India","26677",2017-04-20
"22","Germany","46858",2017-04-20
"23","Martinique","304",2017-04-20
"24","Malta","1166",2017-04-20
"25","Philippines","3855",2017-04-20
"26","Italy","140119",2017-04-20
"27","Fiji","213",2017-04-20
"28","Guyana","28",2017-04-20
"29","Jamaica","907",2017-04-20
"30","U.S. Virgin Islands (US Virgin Is) hotels","201",2017-04-20
"31","New Zealand","5233",2017-04-20
"32","Maldives","570",2017-04-20
"33","South Africa","11551",2017-04-20
"34","Guadeloupe","644",2017-04-20
"35","Dominican Republic (Dominican Rep) hotels","1672",2017-04-20
"36","Greece","26596",2017-04-20
"37","Bahrain","165",2017-04-20
"38","France","73352",2017-04-20
"39","Saint Lucia","174",2017-04-20
"40","Panama","953",2017-04-20
"41","Greenland","25",2017-04-20
"42","Belize","472",2017-04-20
"43","Turkey","15112",2017-04-20
"44","Samoa","68",2017-04-20
"45","Belgium","7308",2017-04-20
"46","Thailand","19049",2017-04-20
"47","Malaysia","6482",2017-04-20
"48","Vietnam","7855",2017-04-20
"49","Ghana","795",2017-04-20
"50","Austria","24446",2017-04-20
"51","Luxembourg","327",2017-04-20
"52","South Korea","4790",2017-04-20
"53","Colombia","7696",2017-04-20
"54","Trinidad and Tobago (Trinidad Tbgo) hotels","146",2017-04-20
"55","Seychelles","461",2017-04-20
"56","Solomon Islands (Solomon Is) hotels","22",2017-04-20
"57","Oman","321",2017-04-20
"58","Australia","16797",2017-04-20
"59","St. Maarten","194",2017-04-20
"60","Mauritius","1072",2017-04-20
"61","Macau","67",2017-04-20
"62","Iraq","94",2017-04-20
"63","Liechtenstein","37",2017-04-20
"64","Japan","12315",2017-04-20
"65","Denmark","23386",2017-04-20
"66","Argentina","11600",2017-04-20
"67","Tanzania","1446",2017-04-20
"68","Qatar","127",2017-04-20
"69","Nigeria","891",2017-04-20
"70","Monaco","30",2017-04-20
"71","Kuwait","129",2017-04-20
"72","Croatia","69366",2017-04-20
"73","Spain","66719",2017-04-20
"74","Anguilla","79",2017-04-20
"75","Curaçao","385",2017-04-20
"76","Portugal","20610",2017-04-20
"77","Norway","4362",2017-04-20
"78","Sri Lanka","8558",2017-04-20
"79","Senegal","452",2017-04-20
"80","Finland","2703",2017-04-20
"81","Sweden","7033",2017-04-20
"82","Gambia","102",2017-04-20
"83","Tunisia","662",2017-04-20
"84","Poland","23331",2017-04-20
"85","Tonga","58",2017-04-20
"86","Peru","4712",2017-04-20
"87","Ecuador","2328",2017-04-20
"88","United Arab Emirates (U.A. Emirates) hotels","1658",2017-04-20
"89","Saudi Arabia","2460",2017-04-20
"90","Jordan","556",2017-04-20
"91","Cyprus","3746",2017-04-20
"92","Switzerland","11031",2017-04-20
"93","Dominica","114",2017-04-20
"94","Chile","9166",2017-04-20
"95","Hungary","11370",2017-04-20
"96","Morocco","4920",2017-04-20
"97","Faroe Islands","34",2017-04-20
"98","Egypt","1512",2017-04-20
"99","China","48450",2017-04-20
"100","New Caledonia","46",2017-04-20
"101","Ethiopia","432",2017-04-20
"102","Armenia","1360",2017-04-20
"103","Ukraine","6713",2017-04-20
"104","Nicaragua","786",2017-04-20
"105","Netherlands","10893",2017-04-20
"106","Romania","9090",2017-04-20
"107","Cook Islands","173",2017-04-20
"108","Azerbaijan","699",2017-04-20
"109","Guinea","22",2017-04-20
"110","Cape Verde","429",2017-04-20
"111","Montenegro","5315",2017-04-20
"112","Vanuatu","158",2017-04-20
"113","Taiwan","5391",2017-04-20
"114","Latvia","2219",2017-04-20
"115","French Polynesia (Fr Polynesia) hotels","270",2017-04-20
"116","Bhutan","57",2017-04-20
"117","Myanmar","1136",2017-04-20
"118","Mozambique","204",2017-04-20
"119","Micronesia","5",2017-04-20
"120","Kenya","1956",2017-04-20
"121","Cambodia","2462",2017-04-20
"122","Brunei (Brunei D.) hotels","31",2017-04-20
"123","Bolivia","578",2017-04-20
"124","Slovenia","3380",2017-04-20
