"","Country","Hotels","Date"
"1","Puerto Rico","569",2017-04-12
"2","Saint Barts (St. Barts) hotels","150",2017-04-12
"3","Bermuda","35",2017-04-12
"4","Iceland","1564",2017-04-12
"5","Haiti","91",2017-04-12
"6","Canada","11586",2017-04-12
"7","Cuba","76",2017-04-12
"8","Turks & Caicos Islands (Turks, Ccs Is) hotels","103",2017-04-12
"9","Guam","37",2017-04-12
"10","Singapore","484",2017-04-12
"11","Ireland","4578",2017-04-12
"12","United Kingdom (the UK) hotels","45674",2017-04-12
"13","Aruba","354",2017-04-12
"14","Israel","3078",2017-04-12
"15","Mexico","11985",2017-04-12
"16","Bahamas","230",2017-04-12
"17","Barbados","399",2017-04-12
"18","Saint Martin","301",2017-04-12
"19","Cayman Islands","91",2017-04-12
"20","India","26470",2017-04-12
"21","Costa Rica","3364",2017-04-12
"22","Martinique","296",2017-04-12
"23","Italy","139159",2017-04-12
"24","Germany","46700",2017-04-12
"25","Malta","1150",2017-04-12
"26","Guyana","28",2017-04-12
"27","Maldives","573",2017-04-12
"28","Fiji","212",2017-04-12
"29","U.S. Virgin Islands (US Virgin Is) hotels","200",2017-04-12
"30","New Zealand","5201",2017-04-12
"31","Guadeloupe","640",2017-04-12
"32","Panama","952",2017-04-12
"33","Philippines","3812",2017-04-12
"34","Jamaica","893",2017-04-12
"35","Greece","26425",2017-04-12
"36","South Africa","11455",2017-04-12
"37","Dominican Republic (Dominican Rep) hotels","1662",2017-04-12
"38","Turkey","15033",2017-04-12
"39","Saint Lucia","173",2017-04-12
"40","Belgium","7286",2017-04-12
"41","Trinidad and Tobago (Trinidad Tbgo) hotels","144",2017-04-12
"42","Samoa","68",2017-04-12
"43","Belize","472",2017-04-12
"44","France","73036",2017-04-12
"45","Macau","67",2017-04-12
"46","Denmark","23425",2017-04-12
"47","Australia","16730",2017-04-12
"48","Greenland","25",2017-04-12
"49","Ghana","782",2017-04-12
"50","Austria","24428",2017-04-12
"51","St. Maarten","194",2017-04-12
"52","Seychelles","460",2017-04-12
"53","Monaco","29",2017-04-12
"54","South Korea","4729",2017-04-12
"55","Bahrain","162",2017-04-12
"56","Iraq","93",2017-04-12
"57","Vietnam","7750",2017-04-12
"58","Thailand","18924",2017-04-12
"59","Tanzania","1438",2017-04-12
"60","Oman","314",2017-04-12
"61","Colombia","7659",2017-04-12
"62","Solomon Islands (Solomon Is) hotels","22",2017-04-12
"63","Mauritius","1060",2017-04-12
"64","Luxembourg","322",2017-04-12
"65","Liechtenstein","37",2017-04-12
"66","Japan","12169",2017-04-12
"67","Croatia","68805",2017-04-12
"68","Curaçao","385",2017-04-12
"69","Finland","2690",2017-04-12
"70","Qatar","127",2017-04-12
"71","Portugal","20389",2017-04-12
"72","Nigeria","875",2017-04-12
"73","Norway","4349",2017-04-12
"74","Malaysia","6297",2017-04-12
"75","Ecuador","2324",2017-04-12
"76","Argentina","11467",2017-04-12
"77","Tonga","59",2017-04-12
"78","Sweden","7019",2017-04-12
"79","Gambia","102",2017-04-12
"80","Sri Lanka","8459",2017-04-12
"81","Anguilla","79",2017-04-12
"82","Switzerland","11027",2017-04-12
"83","Peru","4682",2017-04-12
"84","Tunisia","651",2017-04-12
"85","Kuwait","129",2017-04-12
"86","United Arab Emirates (U.A. Emirates) hotels","1648",2017-04-12
"87","Jordan","552",2017-04-12
"88","Ethiopia","423",2017-04-12
"89","Senegal","447",2017-04-12
"90","Chile","9050",2017-04-12
"91","Spain","66252",2017-04-12
"92","Faroe Islands","34",2017-04-12
"93","Dominica","114",2017-04-12
"94","Armenia","1326",2017-04-12
"95","Egypt","1512",2017-04-12
"96","New Caledonia","46",2017-04-12
"97","Cyprus","3729",2017-04-12
"98","Saudi Arabia","2419",2017-04-12
"99","Nicaragua","782",2017-04-12
"100","Morocco","4887",2017-04-12
"101","Cook Islands","172",2017-04-12
"102","Montenegro","5249",2017-04-12
"103","Poland","23125",2017-04-12
"104","Netherlands","10852",2017-04-12
"105","Hungary","11294",2017-04-12
"106","Vanuatu","158",2017-04-12
"107","Slovenia","3357",2017-04-12
"108","El Salvador","234",2017-04-12
"109","China","47839",2017-04-12
"110","Azerbaijan","667",2017-04-12
"111","Ukraine","6646",2017-04-12
"112","Taiwan","5309",2017-04-12
"113","Romania","8988",2017-04-12
"114","Kenya","1939",2017-04-12
"115","Brunei (Brunei D.) hotels","31",2017-04-12
"116","Bhutan","57",2017-04-12
"117","Rwanda","243",2017-04-12
"118","Mozambique","204",2017-04-12
"119","Lithuania","2972",2017-04-12
"120","Guinea","22",2017-04-12
"121","Cape Verde","422",2017-04-12
"122","Bolivia","576",2017-04-12
"123","Moldova","385",2017-04-12
"124","Micronesia","5",2017-04-12
"125","French Polynesia (Fr Polynesia) hotels","269",2017-04-12
"126","Czech Republic (Czech Rep.) hotels","11173",2017-04-12
"127","Bulgaria","8397",2017-04-12
"128","Russia (Russian Fed.) hotels","38713",2017-04-12
"129","Latvia","2199",2017-04-12
"130","Indonesia","12793",2017-04-12
"131","Andorra","486",2017-04-12
"132","Equatorial Guinea (Eq. Guinea) hotels","8",2017-04-12
"133","Ivory Coast","291",2017-04-12
"134","Angola","93",2017-04-12
"135","Kosovo","132",2017-04-12
"136","Pakistan","272",2017-04-12
"137","Niue","7",2017-04-12
"138","Myanmar","1133",2017-04-12
"139","Guatemala","697",2017-04-12
"140","Belarus","2622",2017-04-12
"141","Northern Mariana Islands (N Mariana Is) hotels","46",2017-04-12
"142","Lebanon","390",2017-04-12
"143","Laos","953",2017-04-12
"144","Kyrgyzstan","519",2017-04-12
"145","French Guiana","31",2017-04-12
"146","Cameroon","213",2017-04-12
"147","Albania","1782",2017-04-12
"148","Suriname","108",2017-04-12
"149","Madagascar","320",2017-04-12
"150","Estonia","2577",2017-04-12
"151","Djibouti","14",2017-04-12
"152","Cambodia","2461",2017-04-12
"153","Bosnia and Herzegovina (Bosnia Herz) hotels","2547",2017-04-12
"154","Benin","118",2017-04-12
"155","Algeria","67",2017-04-12
"156","Venezuela","37",2017-04-12
"157","Uruguay","1929",2017-04-12
"158","Tajikistan","81",2017-04-12
"159","Swaziland","37",2017-04-12
"160","Mongolia","160",2017-04-12
"161","Mayotte","9",2017-04-12
"162","Libya","4",2017-04-12
"163","Georgia","6312",2017-04-12
"164","Gabon","42",2017-04-12
"165","East Timor","32",2017-04-12
"166","Botswana","216",2017-04-12
"167","Serbia","3530",2017-04-12
"168","Uzbekistan","230",2017-04-12
"169","Uganda","682",2017-04-12
"170","Togo","115",2017-04-12
"171","Slovakia","4055",2017-04-12
"172","Paraguay","226",2017-04-12
"173","Nepal","816",2017-04-12
"174","Kazakhstan","1537",2017-04-12
"175","Chad","10",2017-04-12
"176","Crimea","4784",2017-04-12
"177","San Marino","32",2017-04-12
"178","Saint Kitts and Nevis (St. Kitts, Nev) hotels","35",2017-04-12
"179","Papua New Guinea (Pap New Guinea) hotels","44",2017-04-12
"180","Palau","32",2017-04-12
"181","Namibia","448",2017-04-12
"182","Mauritania","52",2017-04-12
"183","Honduras","499",2017-04-12
"184","Guinea-Bissau","4",2017-04-12
"185","Grenada","60",2017-04-12
"186","Burundi","28",2017-04-12
"187","Burkina Faso","44",2017-04-12
