"","Country","Hotels","Date"
"1","Puerto Rico","569",2017-04-11
"2","Saint Barts (St. Barts) hotels","149",2017-04-11
"3","Bermuda","35",2017-04-11
"4","Iceland","1563",2017-04-11
"5","Haiti","90",2017-04-11
"6","Canada","11563",2017-04-11
"7","Cuba","76",2017-04-11
"8","Turks & Caicos Islands (Turks, Ccs Is) hotels","103",2017-04-11
"9","Guam","37",2017-04-11
"10","Singapore","484",2017-04-11
"11","Ireland","4572",2017-04-11
"12","United Kingdom (the UK) hotels","45590",2017-04-11
"13","Aruba","353",2017-04-11
"14","Israel","3074",2017-04-11
"15","Mexico","11951",2017-04-11
"16","Bahamas","231",2017-04-11
"17","Barbados","399",2017-04-11
"18","Saint Martin","301",2017-04-11
"19","Cayman Islands","91",2017-04-11
"20","India","26258",2017-04-11
"21","Costa Rica","3349",2017-04-11
"22","Martinique","294",2017-04-11
"23","Italy","138865",2017-04-11
"24","Germany","46636",2017-04-11
"25","Malta","1141",2017-04-11
"26","Guyana","28",2017-04-11
"27","Maldives","574",2017-04-11
"28","Fiji","211",2017-04-11
"29","U.S. Virgin Islands (US Virgin Is) hotels","200",2017-04-11
"30","New Zealand","5180",2017-04-11
"31","Guadeloupe","638",2017-04-11
"32","Panama","947",2017-04-11
"33","Philippines","3791",2017-04-11
"34","Jamaica","889",2017-04-11
"35","Greece","26364",2017-04-11
"36","South Africa","11418",2017-04-11
"37","Dominican Republic (Dominican Rep) hotels","1658",2017-04-11
"38","Turkey","15019",2017-04-11
"39","Saint Lucia","171",2017-04-11
"40","Belgium","7291",2017-04-11
"41","Trinidad and Tobago (Trinidad Tbgo) hotels","144",2017-04-11
"42","Samoa","68",2017-04-11
"43","Belize","474",2017-04-11
"44","France","72923",2017-04-11
"45","Macau","67",2017-04-11
"46","Denmark","23428",2017-04-11
"47","Australia","16699",2017-04-11
"48","Greenland","25",2017-04-11
"49","Ghana","780",2017-04-11
"50","Austria","24410",2017-04-11
"51","St. Maarten","193",2017-04-11
"52","Seychelles","459",2017-04-11
"53","Monaco","29",2017-04-11
"54","South Korea","4717",2017-04-11
"55","Bahrain","162",2017-04-11
"56","Iraq","93",2017-04-11
"57","Vietnam","7717",2017-04-11
"58","Thailand","18849",2017-04-11
"59","Tanzania","1428",2017-04-11
"60","Oman","314",2017-04-11
"61","Colombia","7619",2017-04-11
"62","Solomon Islands (Solomon Is) hotels","22",2017-04-11
"63","Mauritius","1058",2017-04-11
"64","Luxembourg","321",2017-04-11
"65","Liechtenstein","37",2017-04-11
"66","Japan","12206",2017-04-11
"67","Croatia","68638",2017-04-11
"68","Curaçao","385",2017-04-11
"69","Finland","2687",2017-04-11
"70","Qatar","127",2017-04-11
"71","Portugal","20336",2017-04-11
"72","Nigeria","873",2017-04-11
"73","Norway","4342",2017-04-11
"74","Malaysia","6265",2017-04-11
"75","Ecuador","2323",2017-04-11
"76","Argentina","11445",2017-04-11
"77","Tonga","59",2017-04-11
"78","Sweden","7011",2017-04-11
"79","Gambia","101",2017-04-11
"80","Sri Lanka","8428",2017-04-11
"81","Anguilla","79",2017-04-11
"82","Switzerland","11026",2017-04-11
"83","Peru","4667",2017-04-11
"84","Tunisia","648",2017-04-11
"85","Kuwait","129",2017-04-11
"86","United Arab Emirates (U.A. Emirates) hotels","1638",2017-04-11
"87","Jordan","549",2017-04-11
"88","Ethiopia","420",2017-04-11
"89","Senegal","445",2017-04-11
"90","Chile","9003",2017-04-11
"91","Spain","66068",2017-04-11
"92","Faroe Islands","34",2017-04-11
"93","Dominica","114",2017-04-11
"94","Armenia","1324",2017-04-11
"95","Egypt","1506",2017-04-11
"96","New Caledonia","46",2017-04-11
"97","Cyprus","3720",2017-04-11
"98","Saudi Arabia","2405",2017-04-11
"99","Nicaragua","782",2017-04-11
"100","Morocco","4870",2017-04-11
"101","Cook Islands","172",2017-04-11
"102","Montenegro","5225",2017-04-11
"103","Poland","23005",2017-04-11
"104","Netherlands","10854",2017-04-11
"105","Hungary","11271",2017-04-11
"106","Vanuatu","157",2017-04-11
"107","Slovenia","3347",2017-04-11
"108","El Salvador","234",2017-04-11
"109","China","47690",2017-04-11
"110","Azerbaijan","661",2017-04-11
"111","Ukraine","6611",2017-04-11
"112","Taiwan","5293",2017-04-11
"113","Romania","8960",2017-04-11
"114","Kenya","1934",2017-04-11
"115","Brunei (Brunei D.) hotels","31",2017-04-11
"116","Bhutan","57",2017-04-11
"117","Rwanda","241",2017-04-11
"118","Mozambique","204",2017-04-11
"119","Lithuania","2958",2017-04-11
"120","Guinea","21",2017-04-11
"121","Cape Verde","423",2017-04-11
"122","Bolivia","574",2017-04-11
"123","Moldova","383",2017-04-11
"124","Micronesia","5",2017-04-11
"125","French Polynesia (Fr Polynesia) hotels","268",2017-04-11
"126","Czech Republic (Czech Rep.) hotels","11164",2017-04-11
"127","Bulgaria","8373",2017-04-11
"128","Russia (Russian Fed.) hotels","38428",2017-04-11
"129","Latvia","2191",2017-04-11
"130","Indonesia","12741",2017-04-11
"131","Andorra","484",2017-04-11
"132","Equatorial Guinea (Eq. Guinea) hotels","8",2017-04-11
"133","Ivory Coast","285",2017-04-11
"134","Angola","93",2017-04-11
"135","Kosovo","131",2017-04-11
"136","Pakistan","272",2017-04-11
"137","Niue","7",2017-04-11
"138","Myanmar","1130",2017-04-11
"139","Guatemala","695",2017-04-11
"140","Belarus","2616",2017-04-11
"141","Northern Mariana Islands (N Mariana Is) hotels","46",2017-04-11
"142","Lebanon","390",2017-04-11
"143","Laos","951",2017-04-11
"144","Kyrgyzstan","520",2017-04-11
"145","French Guiana","31",2017-04-11
"146","Cameroon","213",2017-04-11
"147","Albania","1775",2017-04-11
"148","Suriname","107",2017-04-11
"149","Madagascar","323",2017-04-11
"150","Estonia","2559",2017-04-11
"151","Djibouti","14",2017-04-11
"152","Cambodia","2459",2017-04-11
"153","Bosnia and Herzegovina (Bosnia Herz) hotels","2537",2017-04-11
"154","Benin","117",2017-04-11
"155","Algeria","67",2017-04-11
"156","Venezuela","37",2017-04-11
"157","Uruguay","1924",2017-04-11
"158","Tajikistan","81",2017-04-11
"159","Swaziland","37",2017-04-11
"160","Mongolia","160",2017-04-11
"161","Mayotte","9",2017-04-11
"162","Libya","4",2017-04-11
"163","Georgia","6274",2017-04-11
"164","Gabon","41",2017-04-11
"165","East Timor","32",2017-04-11
"166","Botswana","214",2017-04-11
"167","Serbia","3523",2017-04-11
"168","Uzbekistan","227",2017-04-11
"169","Uganda","678",2017-04-11
"170","Togo","115",2017-04-11
"171","Slovakia","4051",2017-04-11
"172","Paraguay","225",2017-04-11
"173","Nepal","816",2017-04-11
"174","Kazakhstan","1533",2017-04-11
"175","Chad","10",2017-04-11
"176","Crimea","4763",2017-04-11
"177","San Marino","32",2017-04-11
"178","Saint Kitts and Nevis (St. Kitts, Nev) hotels","35",2017-04-11
"179","Papua New Guinea (Pap New Guinea) hotels","44",2017-04-11
"180","Palau","32",2017-04-11
"181","Namibia","449",2017-04-11
"182","Mauritania","52",2017-04-11
"183","Honduras","499",2017-04-11
"184","Guinea-Bissau","4",2017-04-11
"185","Grenada","59",2017-04-11
"186","Burundi","28",2017-04-11
"187","Burkina Faso","44",2017-04-11
