"","Country","Hotels","Date"
"1","Puerto Rico","565",2017-04-07
"2","Bermuda","35",2017-04-07
"3","Iceland","1562",2017-04-07
"4","Haiti","90",2017-04-07
"5","Saint Barts (St. Barts) hotels","149",2017-04-07
"6","Canada","11540",2017-04-07
"7","Cuba","76",2017-04-07
"8","Turks & Caicos Islands (Turks, Ccs Is) hotels","103",2017-04-07
"9","Aruba","353",2017-04-07
"10","Guam","37",2017-04-07
"11","Singapore","482",2017-04-07
"12","Ireland","4556",2017-04-07
"13","Israel","3068",2017-04-07
"14","United Kingdom (the UK) hotels","45455",2017-04-07
"15","Barbados","399",2017-04-07
"16","Mexico","11906",2017-04-07
"17","Bahamas","231",2017-04-07
"18","Costa Rica","3331",2017-04-07
"19","India","26142",2017-04-07
"20","Martinique","292",2017-04-07
"21","Cayman Islands","91",2017-04-07
"22","Panama","943",2017-04-07
"23","Maldives","573",2017-04-07
"24","Italy","138460",2017-04-07
"25","Saint Martin","301",2017-04-07
"26","Guyana","28",2017-04-07
"27","Malta","1137",2017-04-07
"28","Germany","46540",2017-04-07
"29","Jamaica","880",2017-04-07
"30","U.S. Virgin Islands (US Virgin Is) hotels","208",2017-04-07
"31","Guadeloupe","636",2017-04-07
"32","Fiji","210",2017-04-07
"33","New Zealand","5156",2017-04-07
"34","Trinidad and Tobago (Trinidad Tbgo) hotels","144",2017-04-07
"35","Philippines","3762",2017-04-07
"36","Greece","26291",2017-04-07
"37","Denmark","23428",2017-04-07
"38","South Africa","11389",2017-04-07
"39","Dominican Republic (Dominican Rep) hotels","1649",2017-04-07
"40","Greenland","25",2017-04-07
"41","Macau","67",2017-04-07
"42","Belgium","7284",2017-04-07
"43","Monaco","29",2017-04-07
"44","Turkey","15018",2017-04-07
"45","Belize","473",2017-04-07
"46","Australia","16642",2017-04-07
"47","Saint Lucia","171",2017-04-07
"48","Finland","2681",2017-04-07
"49","Ghana","776",2017-04-07
"50","South Korea","4704",2017-04-07
"51","St. Maarten","193",2017-04-07
"52","Samoa","67",2017-04-07
"53","Curaçao","385",2017-04-07
"54","Luxembourg","320",2017-04-07
"55","Austria","24410",2017-04-07
"56","Oman","314",2017-04-07
"57","Malaysia","6231",2017-04-07
"58","France","72717",2017-04-07
"59","Thailand","18805",2017-04-07
"60","Tanzania","1424",2017-04-07
"61","Japan","12181",2017-04-07
"62","Bahrain","159",2017-04-07
"63","Seychelles","459",2017-04-07
"64","Mauritius","1059",2017-04-07
"65","Liechtenstein","37",2017-04-07
"66","Norway","4342",2017-04-07
"67","Nigeria","872",2017-04-07
"68","Croatia","68503",2017-04-07
"69","Colombia","7596",2017-04-07
"70","Solomon Islands (Solomon Is) hotels","22",2017-04-07
"71","Qatar","127",2017-04-07
"72","Dominica","114",2017-04-07
"73","Vietnam","7707",2017-04-07
"74","Tonga","59",2017-04-07
"75","Switzerland","11034",2017-04-07
"76","Sweden","7005",2017-04-07
"77","Portugal","20271",2017-04-07
"78","Iraq","93",2017-04-07
"79","Gambia","101",2017-04-07
"80","Chile","8961",2017-04-07
"81","Ecuador","2316",2017-04-07
"82","Argentina","11401",2017-04-07
"83","Tunisia","645",2017-04-07
"84","Ethiopia","419",2017-04-07
"85","Kuwait","129",2017-04-07
"86","Anguilla","78",2017-04-07
"87","New Caledonia","46",2017-04-07
"88","Egypt","1498",2017-04-07
"89","Azerbaijan","648",2017-04-07
"90","Peru","4650",2017-04-07
"91","Jordan","545",2017-04-07
"92","United Arab Emirates (U.A. Emirates) hotels","1649",2017-04-07
"93","Faroe Islands","34",2017-04-07
"94","Armenia","1318",2017-04-07
"95","Sri Lanka","8369",2017-04-07
"96","Spain","65801",2017-04-07
"97","Slovenia","3336",2017-04-07
"98","Vanuatu","157",2017-04-07
"99","Senegal","446",2017-04-07
"100","Nicaragua","776",2017-04-07
"101","Taiwan","5274",2017-04-07
"102","Hungary","11262",2017-04-07
"103","El Salvador","234",2017-04-07
"104","Saudi Arabia","2380",2017-04-07
"105","Morocco","4878",2017-04-07
"106","Cyprus","3703",2017-04-07
"107","Mozambique","203",2017-04-07
"108","Cook Islands","171",2017-04-07
"109","Cape Verde","423",2017-04-07
"110","Montenegro","5201",2017-04-07
"111","Kenya","1930",2017-04-07
"112","China","47489",2017-04-07
"113","Russia (Russian Fed.) hotels","38204",2017-04-07
"114","Poland","22915",2017-04-07
"115","Netherlands","10837",2017-04-07
"116","Lithuania","2953",2017-04-07
"117","Brunei (Brunei D.) hotels","31",2017-04-07
"118","Bolivia","570",2017-04-07
"119","Ukraine","6562",2017-04-07
"120","Romania","8926",2017-04-07
"121","Niue","7",2017-04-07
"122","Micronesia","5",2017-04-07
"123","Guinea","21",2017-04-07
"124","Rwanda","232",2017-04-07
"125","Madagascar","321",2017-04-07
"126","Indonesia","12715",2017-04-07
"127","Guatemala","693",2017-04-07
"128","French Polynesia (Fr Polynesia) hotels","269",2017-04-07
"129","Czech Republic (Czech Rep.) hotels","11147",2017-04-07
"130","Ivory Coast","284",2017-04-07
"131","Bhutan","57",2017-04-07
"132","Albania","1769",2017-04-07
"133","Pakistan","272",2017-04-07
"134","Northern Mariana Islands (N Mariana Is) hotels","45",2017-04-07
"135","Moldova","381",2017-04-07
"136","Latvia","2188",2017-04-07
"137","Bulgaria","8348",2017-04-07
"138","Benin","116",2017-04-07
"139","Angola","92",2017-04-07
"140","Kosovo","130",2017-04-07
"141","Laos","950",2017-04-07
"142","French Guiana","31",2017-04-07
"143","Uruguay","1914",2017-04-07
"144","Suriname","106",2017-04-07
"145","Slovakia","4046",2017-04-07
"146","San Marino","32",2017-04-07
"147","Kyrgyzstan","514",2017-04-07
"148","Gabon","41",2017-04-07
"149","Estonia","2560",2017-04-07
"150","Djibouti","14",2017-04-07
"151","Chad","10",2017-04-07
"152","Cambodia","2456",2017-04-07
"153","Bosnia and Herzegovina (Bosnia Herz) hotels","2519",2017-04-07
"154","Belarus","2602",2017-04-07
"155","Andorra","482",2017-04-07
"156","Crimea","4726",2017-04-07
"157","Tajikistan","81",2017-04-07
"158","Swaziland","37",2017-04-07
"159","Papua New Guinea (Pap New Guinea) hotels","44",2017-04-07
"160","Myanmar","1128",2017-04-07
"161","Mongolia","159",2017-04-07
"162","Mauritania","52",2017-04-07
"163","Equatorial Guinea (Eq. Guinea) hotels","8",2017-04-07
"164","Cameroon","212",2017-04-07
"165","Algeria","67",2017-04-07
"166","Venezuela","37",2017-04-07
"167","Uganda","674",2017-04-07
"168","Togo","115",2017-04-07
"169","Nepal","815",2017-04-07
"170","Mayotte","9",2017-04-07
"171","Libya","4",2017-04-07
"172","Lebanon","389",2017-04-07
"173","Honduras","497",2017-04-07
"174","East Timor","32",2017-04-07
"175","Botswana","214",2017-04-07
"176","Serbia","3506",2017-04-07
"177","Uzbekistan","227",2017-04-07
"178","Paraguay","223",2017-04-07
"179","Palau","32",2017-04-07
"180","Malawi","88",2017-04-07
"181","Kazakhstan","1519",2017-04-07
"182","Grenada","58",2017-04-07
"183","Gibraltar","16",2017-04-07
"184","Burundi","28",2017-04-07
"185","Burkina Faso","43",2017-04-07
