"","Country","Hotels","Date"
"1","Puerto Rico","569",2017-04-10
"2","Bermuda","35",2017-04-10
"3","Iceland","1563",2017-04-10
"4","Haiti","90",2017-04-10
"5","Saint Barts (St. Barts) hotels","149",2017-04-10
"6","Canada","11559",2017-04-10
"7","Cuba","76",2017-04-10
"8","Turks & Caicos Islands (Turks, Ccs Is) hotels","103",2017-04-10
"9","Aruba","353",2017-04-10
"10","Guam","37",2017-04-10
"11","Singapore","482",2017-04-10
"12","Ireland","4541",2017-04-10
"13","Israel","3072",2017-04-10
"14","United Kingdom (the UK) hotels","45497",2017-04-10
"15","Barbados","399",2017-04-10
"16","Mexico","11928",2017-04-10
"17","Bahamas","231",2017-04-10
"18","Costa Rica","3341",2017-04-10
"19","India","26176",2017-04-10
"20","Martinique","293",2017-04-10
"21","Cayman Islands","91",2017-04-10
"22","Panama","943",2017-04-10
"23","Maldives","573",2017-04-10
"24","Italy","138590",2017-04-10
"25","Saint Martin","301",2017-04-10
"26","Guyana","28",2017-04-10
"27","Malta","1139",2017-04-10
"28","Germany","46587",2017-04-10
"29","Jamaica","884",2017-04-10
"30","U.S. Virgin Islands (US Virgin Is) hotels","208",2017-04-10
"31","Guadeloupe","636",2017-04-10
"32","Fiji","211",2017-04-10
"33","New Zealand","5159",2017-04-10
"34","Trinidad and Tobago (Trinidad Tbgo) hotels","144",2017-04-10
"35","Philippines","3784",2017-04-10
"36","Greece","26334",2017-04-10
"37","Denmark","23430",2017-04-10
"38","South Africa","11408",2017-04-10
"39","Dominican Republic (Dominican Rep) hotels","1652",2017-04-10
"40","Greenland","25",2017-04-10
"41","Macau","67",2017-04-10
"42","Belgium","7287",2017-04-10
"43","Monaco","29",2017-04-10
"44","Turkey","15030",2017-04-10
"45","Belize","474",2017-04-10
"46","Australia","16683",2017-04-10
"47","Saint Lucia","171",2017-04-10
"48","Finland","2685",2017-04-10
"49","Ghana","778",2017-04-10
"50","South Korea","4716",2017-04-10
"51","St. Maarten","193",2017-04-10
"52","Samoa","68",2017-04-10
"53","Curaçao","385",2017-04-10
"54","Luxembourg","320",2017-04-10
"55","Austria","24410",2017-04-10
"56","Oman","314",2017-04-10
"57","Malaysia","6248",2017-04-10
"58","France","72800",2017-04-10
"59","Thailand","18815",2017-04-10
"60","Tanzania","1428",2017-04-10
"61","Japan","12191",2017-04-10
"62","Bahrain","162",2017-04-10
"63","Seychelles","459",2017-04-10
"64","Mauritius","1054",2017-04-10
"65","Liechtenstein","37",2017-04-10
"66","Norway","4343",2017-04-10
"67","Nigeria","873",2017-04-10
"68","Croatia","68465",2017-04-10
"69","Colombia","7610",2017-04-10
"70","Solomon Islands (Solomon Is) hotels","22",2017-04-10
"71","Qatar","127",2017-04-10
"72","Dominica","114",2017-04-10
"73","Vietnam","7707",2017-04-10
"74","Tonga","59",2017-04-10
"75","Switzerland","11041",2017-04-10
"76","Sweden","7007",2017-04-10
