"","Country","Hotels","Date"
"1","Puerto Rico","561",2017-04-01
"2","Bermuda","34",2017-04-01
"3","Haiti","89",2017-04-01
"4","Iceland","1550",2017-04-01
"5","Saint Barts (St. Barts) hotels","149",2017-04-01
"6","Canada","11501",2017-04-01
"7","Cuba","76",2017-04-01
"8","Turks & Caicos Islands (Turks, Ccs Is) hotels","102",2017-04-01
"9","Aruba","350",2017-04-01
"10","Guam","35",2017-04-01
"11","Singapore","482",2017-04-01
"12","Barbados","398",2017-04-01
"13","United Kingdom (the UK) hotels","45105",2017-04-01
"14","Bahamas","228",2017-04-01
"15","Mexico","11854",2017-04-01
"16","Israel","3063",2017-04-01
"17","Ireland","4536",2017-04-01
"18","Costa Rica","3324",2017-04-01
"19","Panama","947",2017-04-01
"20","Martinique","289",2017-04-01
"21","India","25896",2017-04-01
"22","Maldives","571",2017-04-01
"23","Italy","137731",2017-04-01
"24","Saint Martin","300",2017-04-01
"25","Cayman Islands","91",2017-04-01
"26","Guyana","27",2017-04-01
"27","Jamaica","874",2017-04-01
"28","Germany","46430",2017-04-01
"29","Guadeloupe","631",2017-04-01
"30","U.S. Virgin Islands (US Virgin Is) hotels","207",2017-04-01
"31","Malta","1132",2017-04-01
"32","Denmark","23361",2017-04-01
"33","New Zealand","5135",2017-04-01
"34","Trinidad and Tobago (Trinidad Tbgo) hotels","142",2017-04-01
"35","Greenland","25",2017-04-01
"36","Philippines","3723",2017-04-01
"37","Monaco","29",2017-04-01
"38","Fiji","210",2017-04-01
"39","Dominican Republic (Dominican Rep) hotels","1635",2017-04-01
"40","Macau","67",2017-04-01
"41","Belgium","7277",2017-04-01
"42","Belize","472",2017-04-01
"43","Greece","26164",2017-04-01
"44","South Africa","11334",2017-04-01
"45","Saint Lucia","168",2017-04-01
"46","Finland","2670",2017-04-01
"47","Curaçao","382",2017-04-01
"48","Turkey","15024",2017-04-01
"49","Nigeria","867",2017-04-01
"50","Australia","16571",2017-04-01
"51","South Korea","4680",2017-04-01
"52","Japan","12012",2017-04-01
"53","Ghana","771",2017-04-01
"54","Samoa","67",2017-04-01
"55","Austria","24292",2017-04-01
