"","Country","Hotels","Date"
"1","Puerto Rico","564",2017-04-06
"2","Bermuda","34",2017-04-06
"3","Iceland","1559",2017-04-06
"4","Haiti","90",2017-04-06
"5","Saint Barts (St. Barts) hotels","149",2017-04-06
"6","Canada","11529",2017-04-06
"7","Cuba","76",2017-04-06
"8","Turks & Caicos Islands (Turks, Ccs Is) hotels","103",2017-04-06
"9","Aruba","353",2017-04-06
"10","Guam","37",2017-04-06
"11","Singapore","482",2017-04-06
"12","Ireland","4551",2017-04-06
"13","Israel","3072",2017-04-06
"14","United Kingdom (the UK) hotels","45341",2017-04-06
"15","Barbados","397",2017-04-06
"16","Mexico","11886",2017-04-06
"17","Bahamas","230",2017-04-06
"18","Costa Rica","3328",2017-04-06
"19","India","26106",2017-04-06
"20","Martinique","291",2017-04-06
"21","Cayman Islands","91",2017-04-06
"22","Panama","945",2017-04-06
"23","Maldives","573",2017-04-06
"24","Italy","138303",2017-04-06
"25","Saint Martin","300",2017-04-06
"26","Guyana","28",2017-04-06
"27","Malta","1136",2017-04-06
"28","Germany","46525",2017-04-06
"29","Jamaica","878",2017-04-06
"30","U.S. Virgin Islands (US Virgin Is) hotels","200",2017-04-06
"31","Guadeloupe","635",2017-04-06
"32","Fiji","210",2017-04-06
"33","New Zealand","5151",2017-04-06
"34","Trinidad and Tobago (Trinidad Tbgo) hotels","144",2017-04-06
"35","Philippines","3754",2017-04-06
"36","Greece","26278",2017-04-06
"37","Denmark","23424",2017-04-06
"38","South Africa","11378",2017-04-06
"39","Dominican Republic (Dominican Rep) hotels","1646",2017-04-06
"40","Greenland","25",2017-04-06
"41","Macau","67",2017-04-06
"42","Belgium","7282",2017-04-06
"43","Monaco","29",2017-04-06
"44","Turkey","15001",2017-04-06
"45","Belize","473",2017-04-06
"46","Australia","16650",2017-04-06
"47","Saint Lucia","171",2017-04-06
"48","Finland","2678",2017-04-06
"49","Ghana","771",2017-04-06
"50","South Korea","4703",2017-04-06
"51","St. Maarten","193",2017-04-06
"52","Samoa","67",2017-04-06
"53","Curaçao","385",2017-04-06
"54","Luxembourg","320",2017-04-06
"55","Austria","24407",2017-04-06
"56","Oman","315",2017-04-06
"57","Malaysia","6231",2017-04-06
"58","France","72684",2017-04-06
"59","Thailand","18766",2017-04-06
"60","Tanzania","1421",2017-04-06
"61","Japan","12164",2017-04-06
"62","Bahrain","159",2017-04-06
"63","Seychelles","459",2017-04-06
"64","Mauritius","1058",2017-04-06
"65","Liechtenstein","37",2017-04-06
"66","Norway","4334",2017-04-06
"67","Nigeria","871",2017-04-06
"68","Croatia","68332",2017-04-06
"69","Colombia","7587",2017-04-06
"70","Solomon Islands (Solomon Is) hotels","22",2017-04-06
"71","Qatar","127",2017-04-06
"72","Dominica","114",2017-04-06
"73","Vietnam","7690",2017-04-06
"74","Tonga","59",2017-04-06
"75","Switzerland","11040",2017-04-06
"76","Sweden","6998",2017-04-06
"77","Portugal","20233",2017-04-06
"78","Iraq","93",2017-04-06
"79","Gambia","101",2017-04-06
"80","Chile","8950",2017-04-06
"81","Ecuador","2315",2017-04-06
"82","Argentina","11391",2017-04-06
"83","Tunisia","644",2017-04-06
"84","Ethiopia","419",2017-04-06
"85","Kuwait","129",2017-04-06
"86","Anguilla","70",2017-04-06
"87","New Caledonia","45",2017-04-06
"88","Egypt","1494",2017-04-06
"89","Azerbaijan","652",2017-04-06
"90","Peru","4647",2017-04-06
"91","Jordan","544",2017-04-06
"92","United Arab Emirates (U.A. Emirates) hotels","1646",2017-04-06
"93","Faroe Islands","34",2017-04-06
"94","Armenia","1314",2017-04-06
"95","Sri Lanka","8347",2017-04-06
"96","Spain","65720",2017-04-06
"97","Slovenia","3329",2017-04-06
"98","Vanuatu","156",2017-04-06
"99","Senegal","446",2017-04-06
"100","Nicaragua","775",2017-04-06
"101","Taiwan","5269",2017-04-06
"102","Hungary","11246",2017-04-06
"103","El Salvador","234",2017-04-06
"104","Saudi Arabia","2374",2017-04-06
"105","Morocco","4873",2017-04-06
"106","Cyprus","3690",2017-04-06
"107","Mozambique","204",2017-04-06
"108","Cook Islands","170",2017-04-06
"109","Cape Verde","423",2017-04-06
"110","Montenegro","5192",2017-04-06
"111","Kenya","1928",2017-04-06
"112","China","47464",2017-04-06
"113","Russia (Russian Fed.) hotels","38130",2017-04-06
"114","Poland","22895",2017-04-06
"115","Netherlands","10830",2017-04-06
"116","Lithuania","2951",2017-04-06
"117","Brunei (Brunei D.) hotels","31",2017-04-06
"118","Bolivia","570",2017-04-06
"119","Ukraine","6553",2017-04-06
"120","Romania","8914",2017-04-06
"121","Niue","7",2017-04-06
"122","Micronesia","5",2017-04-06
"123","Guinea","21",2017-04-06
"124","Rwanda","232",2017-04-06
"125","Madagascar","322",2017-04-06
"126","Indonesia","12706",2017-04-06
"127","Guatemala","693",2017-04-06
"128","French Polynesia (Fr Polynesia) hotels","269",2017-04-06
"129","Czech Republic (Czech Rep.) hotels","11145",2017-04-06
"130","Ivory Coast","284",2017-04-06
"131","Bhutan","57",2017-04-06
"132","Albania","1769",2017-04-06
"133","Pakistan","272",2017-04-06
"134","Northern Mariana Islands (N Mariana Is) hotels","45",2017-04-06
"135","Moldova","381",2017-04-06
"136","Latvia","2184",2017-04-06
"137","Bulgaria","8334",2017-04-06
"138","Benin","116",2017-04-06
"139","Angola","92",2017-04-06
"140","Kosovo","130",2017-04-06
"141","Laos","951",2017-04-06
"142","French Guiana","31",2017-04-06
"143","Uruguay","1919",2017-04-06
"144","Suriname","106",2017-04-06
"145","Slovakia","4039",2017-04-06
"146","San Marino","32",2017-04-06
"147","Kyrgyzstan","513",2017-04-06
"148","Gabon","40",2017-04-06
"149","Estonia","2560",2017-04-06
"150","Djibouti","14",2017-04-06
"151","Chad","10",2017-04-06
"152","Cambodia","2455",2017-04-06
"153","Bosnia and Herzegovina (Bosnia Herz) hotels","2515",2017-04-06
"154","Belarus","2594",2017-04-06
"155","Andorra","482",2017-04-06
"156","Crimea","4722",2017-04-06
"157","Tajikistan","81",2017-04-06
"158","Swaziland","36",2017-04-06
"159","Papua New Guinea (Pap New Guinea) hotels","44",2017-04-06
"160","Myanmar","1128",2017-04-06
"161","Mongolia","158",2017-04-06
"162","Mauritania","52",2017-04-06
"163","Equatorial Guinea (Eq. Guinea) hotels","8",2017-04-06
"164","Cameroon","212",2017-04-06
"165","Algeria","67",2017-04-06
"166","Venezuela","37",2017-04-06
"167","Uganda","669",2017-04-06
"168","Togo","115",2017-04-06
"169","Nepal","815",2017-04-06
"170","Mayotte","9",2017-04-06
"171","Libya","4",2017-04-06
"172","Lebanon","389",2017-04-06
"173","Honduras","497",2017-04-06
"174","East Timor","32",2017-04-06
