"","Country","Hotels","Date"
"1","Puerto Rico","571",2017-04-15
"2","Saint Barts (St. Barts) hotels","150",2017-04-15
"3","Bermuda","35",2017-04-15
"4","Iceland","1565",2017-04-15
"5","Haiti","91",2017-04-15
"6","Canada","11611",2017-04-15
"7","Cuba","76",2017-04-15
"8","Turks & Caicos Islands (Turks, Ccs Is) hotels","103",2017-04-15
"9","Guam","37",2017-04-15
"10","Singapore","484",2017-04-15
"11","Ireland","4586",2017-04-15
"12","United Kingdom (the UK) hotels","45796",2017-04-15
"13","Aruba","355",2017-04-15
"14","Israel","3084",2017-04-15
"15","Mexico","12011",2017-04-15
"16","Bahamas","234",2017-04-15
"17","Barbados","399",2017-04-15
"18","Saint Martin","300",2017-04-15
"19","Cayman Islands","150",2017-04-15
"20","India","26427",2017-04-15
"21","Costa Rica","3369",2017-04-15
"22","Martinique","299",2017-04-15
"23","Italy","139636",2017-04-15
"24","Germany","46785",2017-04-15
"25","Malta","1159",2017-04-15
"26","Guyana","28",2017-04-15
"27","Maldives","572",2017-04-15
"28","Fiji","212",2017-04-15
"29","U.S. Virgin Islands (US Virgin Is) hotels","199",2017-04-15
"30","New Zealand","5212",2017-04-15
"31","Guadeloupe","639",2017-04-15
"32","Panama","952",2017-04-15
"33","Philippines","3826",2017-04-15
"34","Jamaica","904",2017-04-15
"35","Greece","26501",2017-04-15
"36","South Africa","11482",2017-04-15
"37","Dominican Republic (Dominican Rep) hotels","1666",2017-04-15
"38","Turkey","15059",2017-04-15
"39","Saint Lucia","173",2017-04-15
"40","Belgium","7305",2017-04-15
"41","Trinidad and Tobago (Trinidad Tbgo) hotels","145",2017-04-15
"42","Samoa","68",2017-04-15
"43","Belize","472",2017-04-15
"44","France","73224",2017-04-15
"45","Macau","67",2017-04-15
"46","Denmark","23428",2017-04-15
"47","Australia","16747",2017-04-15
"48","Greenland","25",2017-04-15
"49","Ghana","792",2017-04-15
"50","Austria","24444",2017-04-15
"51","St. Maarten","194",2017-04-15
"52","Seychelles","459",2017-04-15
"53","Monaco","29",2017-04-15
"54","South Korea","4750",2017-04-15
"55","Bahrain","165",2017-04-15
"56","Iraq","93",2017-04-15
"57","Vietnam","7800",2017-04-15
"58","Thailand","18953",2017-04-15
"59","Tanzania","1440",2017-04-15
"60","Oman","317",2017-04-15
"61","Colombia","7667",2017-04-15
"62","Solomon Islands (Solomon Is) hotels","22",2017-04-15
"63","Mauritius","1063",2017-04-15
"64","Luxembourg","324",2017-04-15
"65","Liechtenstein","37",2017-04-15
"66","Japan","12208",2017-04-15
"67","Croatia","69407",2017-04-15
"68","Curaçao","385",2017-04-15
"69","Finland","2696",2017-04-15
"70","Qatar","127",2017-04-15
"71","Portugal","20480",2017-04-15
"72","Nigeria","879",2017-04-15
"73","Norway","4352",2017-04-15
"74","Malaysia","6378",2017-04-15
"75","Ecuador","2328",2017-04-15
"76","Argentina","11502",2017-04-15
"77","Tonga","57",2017-04-15
"78","Sweden","7023",2017-04-15
"79","Gambia","102",2017-04-15
"80","Sri Lanka","8474",2017-04-15
"81","Anguilla","79",2017-04-15
"82","Switzerland","11029",2017-04-15
"83","Peru","4693",2017-04-15
"84","Tunisia","659",2017-04-15
"85","Kuwait","129",2017-04-15
"86","United Arab Emirates (U.A. Emirates) hotels","1649",2017-04-15
"87","Jordan","552",2017-04-15
"88","Ethiopia","431",2017-04-15
"89","Senegal","447",2017-04-15
"90","Chile","9098",2017-04-15
"91","Spain","66452",2017-04-15
"92","Faroe Islands","34",2017-04-15
"93","Dominica","114",2017-04-15
"94","Armenia","1346",2017-04-15
"95","Egypt","1514",2017-04-15
"96","New Caledonia","45",2017-04-15
"97","Cyprus","3739",2017-04-15
"98","Saudi Arabia","2436",2017-04-15
"99","Nicaragua","782",2017-04-15
"100","Morocco","4909",2017-04-15
"101","Cook Islands","173",2017-04-15
"102","Montenegro","5269",2017-04-15
"103","Poland","23236",2017-04-15
"104","Netherlands","10873",2017-04-15
"105","Hungary","11334",2017-04-15
"106","Vanuatu","158",2017-04-15
"107","Slovenia","3371",2017-04-15
"108","El Salvador","234",2017-04-15
"109","China","47990",2017-04-15
"110","Azerbaijan","682",2017-04-15
"111","Ukraine","6693",2017-04-15
"112","Taiwan","5336",2017-04-15
"113","Romania","9036",2017-04-15
"114","Kenya","1942",2017-04-15
"115","Brunei (Brunei D.) hotels","31",2017-04-15
"116","Bhutan","57",2017-04-15
"117","Rwanda","245",2017-04-15
"118","Mozambique","204",2017-04-15
"119","Lithuania","2982",2017-04-15
"120","Guinea","22",2017-04-15
"121","Cape Verde","425",2017-04-15
"122","Bolivia","578",2017-04-15
"123","Moldova","384",2017-04-15
"124","Micronesia","5",2017-04-15
"125","French Polynesia (Fr Polynesia) hotels","268",2017-04-15
"126","Czech Republic (Czech Rep.) hotels","11195",2017-04-15
"127","Bulgaria","8421",2017-04-15
"128","Russia (Russian Fed.) hotels","39009",2017-04-15
"129","Latvia","2205",2017-04-15
"130","Indonesia","12827",2017-04-15
"131","Andorra","487",2017-04-15
"132","Equatorial Guinea (Eq. Guinea) hotels","8",2017-04-15
"133","Ivory Coast","297",2017-04-15
"134","Angola","93",2017-04-15
"135","Kosovo","134",2017-04-15
"136","Pakistan","274",2017-04-15
"137","Niue","7",2017-04-15
"138","Myanmar","1133",2017-04-15
"139","Guatemala","698",2017-04-15
"140","Belarus","2631",2017-04-15
"141","Northern Mariana Islands (N Mariana Is) hotels","47",2017-04-15
"142","Lebanon","390",2017-04-15
"143","Laos","955",2017-04-15
"144","Kyrgyzstan","521",2017-04-15
"145","French Guiana","31",2017-04-15
"146","Cameroon","213",2017-04-15
"147","Albania","1791",2017-04-15
"148","Suriname","108",2017-04-15
"149","Madagascar","323",2017-04-15
"150","Estonia","2580",2017-04-15
"151","Djibouti","14",2017-04-15
"152","Cambodia","2461",2017-04-15
"153","Bosnia and Herzegovina (Bosnia Herz) hotels","2574",2017-04-15
"154","Benin","118",2017-04-15
"155","Algeria","68",2017-04-15
"156","Venezuela","37",2017-04-15
"157","Uruguay","1934",2017-04-15
"158","Tajikistan","81",2017-04-15
"159","Swaziland","37",2017-04-15
"160","Mongolia","160",2017-04-15
"161","Mayotte","9",2017-04-15
"162","Libya","4",2017-04-15
"163","Georgia","6343",2017-04-15
"164","Gabon","42",2017-04-15
"165","East Timor","32",2017-04-15
"166","Botswana","216",2017-04-15
"167","Serbia","3546",2017-04-15
"168","Uzbekistan","231",2017-04-15
"169","Uganda","683",2017-04-15
"170","Togo","115",2017-04-15
"171","Slovakia","4065",2017-04-15
"172","Paraguay","227",2017-04-15
"173","Nepal","820",2017-04-15
"174","Kazakhstan","1545",2017-04-15
"175","Chad","10",2017-04-15
"176","Crimea","4821",2017-04-15
"177","San Marino","32",2017-04-15
"178","Saint Kitts and Nevis (St. Kitts, Nev) hotels","35",2017-04-15
"179","Papua New Guinea (Pap New Guinea) hotels","44",2017-04-15
"180","Palau","31",2017-04-15
"181","Namibia","449",2017-04-15
"182","Mauritania","53",2017-04-15
"183","Honduras","499",2017-04-15
"184","Guinea-Bissau","4",2017-04-15
"185","Grenada","61",2017-04-15
"186","Burundi","28",2017-04-15
"187","Burkina Faso","44",2017-04-15
