"","Country","Hotels","Date"
"1","Puerto Rico","569",2017-04-17
"2","Saint Barts (St. Barts) hotels","150",2017-04-17
"3","Bermuda","35",2017-04-17
"4","Iceland","1566",2017-04-17
"5","Haiti","91",2017-04-17
"6","Canada","11612",2017-04-17
"7","Cuba","76",2017-04-17
"8","Turks & Caicos Islands (Turks, Ccs Is) hotels","103",2017-04-17
"9","Guam","37",2017-04-17
"10","Singapore","484",2017-04-17
"11","Ireland","4588",2017-04-17
"12","United Kingdom (the UK) hotels","45841",2017-04-17
"13","Aruba","355",2017-04-17
"14","Israel","3085",2017-04-17
"15","Mexico","12013",2017-04-17
"16","Bahamas","234",2017-04-17
"17","Barbados","400",2017-04-17
"18","Saint Martin","300",2017-04-17
"19","Cayman Islands","150",2017-04-17
"20","India","26462",2017-04-17
"21","Costa Rica","3367",2017-04-17
"22","Martinique","300",2017-04-17
"23","Italy","139753",2017-04-17
"24","Germany","46814",2017-04-17
"25","Malta","1159",2017-04-17
"26","Guyana","28",2017-04-17
"27","Maldives","572",2017-04-17
"28","Fiji","212",2017-04-17
"29","U.S. Virgin Islands (US Virgin Is) hotels","207",2017-04-17
"30","New Zealand","5216",2017-04-17
"31","Guadeloupe","641",2017-04-17
"32","Panama","952",2017-04-17
"33","Philippines","3831",2017-04-17
"34","Jamaica","904",2017-04-17
"35","Greece","26512",2017-04-17
"36","South Africa","11495",2017-04-17
"37","Dominican Republic (Dominican Rep) hotels","1666",2017-04-17
"38","Turkey","15069",2017-04-17
"39","Saint Lucia","173",2017-04-17
"40","Belgium","7309",2017-04-17
"41","Trinidad and Tobago (Trinidad Tbgo) hotels","146",2017-04-17
"42","Samoa","68",2017-04-17
"43","Belize","472",2017-04-17
"44","France","73286",2017-04-17
"45","Macau","67",2017-04-17
"46","Denmark","23428",2017-04-17
"47","Australia","16756",2017-04-17
"48","Greenland","25",2017-04-17
"49","Ghana","792",2017-04-17
"50","Austria","24452",2017-04-17
"51","St. Maarten","194",2017-04-17
"52","Seychelles","460",2017-04-17
"53","Monaco","30",2017-04-17
"54","South Korea","4750",2017-04-17
"55","Bahrain","165",2017-04-17
"56","Iraq","93",2017-04-17
"57","Vietnam","7819",2017-04-17
"58","Thailand","18966",2017-04-17
"59","Tanzania","1440",2017-04-17
"60","Oman","319",2017-04-17
"61","Colombia","7669",2017-04-17
"62","Solomon Islands (Solomon Is) hotels","22",2017-04-17
"63","Mauritius","1065",2017-04-17
"64","Luxembourg","326",2017-04-17
"65","Liechtenstein","37",2017-04-17
"66","Japan","12268",2017-04-17
"67","Croatia","69492",2017-04-17
"68","Curaçao","385",2017-04-17
"69","Finland","2698",2017-04-17
"70","Qatar","127",2017-04-17
"71","Portugal","20502",2017-04-17
"72","Nigeria","879",2017-04-17
"73","Norway","4353",2017-04-17
"74","Malaysia","6391",2017-04-17
"75","Ecuador","2328",2017-04-17
"76","Argentina","11509",2017-04-17
"77","Tonga","57",2017-04-17
"78","Sweden","7023",2017-04-17
"79","Gambia","102",2017-04-17
"80","Sri Lanka","8502",2017-04-17
"81","Anguilla","79",2017-04-17
"82","Switzerland","11031",2017-04-17
"83","Peru","4694",2017-04-17
"84","Tunisia","659",2017-04-17
"85","Kuwait","129",2017-04-17
"86","United Arab Emirates (U.A. Emirates) hotels","1649",2017-04-17
"87","Jordan","555",2017-04-17
"88","Ethiopia","430",2017-04-17
"89","Senegal","447",2017-04-17
"90","Chile","9109",2017-04-17
"91","Spain","66521",2017-04-17
"92","Faroe Islands","34",2017-04-17
"93","Dominica","114",2017-04-17
"94","Armenia","1350",2017-04-17
"95","Egypt","1517",2017-04-17
"96","New Caledonia","45",2017-04-17
"97","Cyprus","3737",2017-04-17
"98","Saudi Arabia","2442",2017-04-17
"99","Nicaragua","782",2017-04-17
"100","Morocco","4914",2017-04-17
"101","Cook Islands","173",2017-04-17
"102","Montenegro","5289",2017-04-17
"103","Poland","23244",2017-04-17
"104","Netherlands","10882",2017-04-17
"105","Hungary","11340",2017-04-17
"106","Vanuatu","158",2017-04-17
"107","Slovenia","3372",2017-04-17
"108","El Salvador","234",2017-04-17
"109","China","48007",2017-04-17
"110","Azerbaijan","685",2017-04-17
"111","Ukraine","6708",2017-04-17
"112","Taiwan","5349",2017-04-17
"113","Romania","9047",2017-04-17
"114","Kenya","1944",2017-04-17
"115","Brunei (Brunei D.) hotels","31",2017-04-17
"116","Bhutan","57",2017-04-17
"117","Rwanda","245",2017-04-17
"118","Mozambique","204",2017-04-17
"119","Lithuania","2983",2017-04-17
"120","Guinea","22",2017-04-17
"121","Cape Verde","425",2017-04-17
"122","Bolivia","578",2017-04-17
"123","Moldova","384",2017-04-17
"124","Micronesia","5",2017-04-17
"125","French Polynesia (Fr Polynesia) hotels","268",2017-04-17
"126","Czech Republic (Czech Rep.) hotels","11205",2017-04-17
"127","Bulgaria","8432",2017-04-17
"128","Russia (Russian Fed.) hotels","39074",2017-04-17
"129","Latvia","2210",2017-04-17
"130","Indonesia","12834",2017-04-17
"131","Andorra","487",2017-04-17
"132","Equatorial Guinea (Eq. Guinea) hotels","8",2017-04-17
"133","Ivory Coast","297",2017-04-17
"134","Angola","93",2017-04-17
"135","Kosovo","134",2017-04-17
"136","Pakistan","274",2017-04-17
"137","Niue","7",2017-04-17
"138","Myanmar","1133",2017-04-17
"139","Guatemala","698",2017-04-17
"140","Belarus","2637",2017-04-17
"141","Northern Mariana Islands (N Mariana Is) hotels","47",2017-04-17
"142","Lebanon","390",2017-04-17
"143","Laos","955",2017-04-17
"144","Kyrgyzstan","522",2017-04-17
"145","French Guiana","31",2017-04-17
"146","Cameroon","213",2017-04-17
"147","Albania","1796",2017-04-17
"148","Suriname","108",2017-04-17
"149","Madagascar","323",2017-04-17
"150","Estonia","2582",2017-04-17
"151","Djibouti","14",2017-04-17
"152","Cambodia","2461",2017-04-17
"153","Bosnia and Herzegovina (Bosnia Herz) hotels","2583",2017-04-17
"154","Benin","118",2017-04-17
"155","Algeria","69",2017-04-17
"156","Venezuela","37",2017-04-17
"157","Uruguay","1932",2017-04-17
"158","Tajikistan","81",2017-04-17
"159","Swaziland","37",2017-04-17
"160","Mongolia","160",2017-04-17
"161","Mayotte","9",2017-04-17
"162","Libya","4",2017-04-17
"163","Georgia","6365",2017-04-17
"164","Gabon","44",2017-04-17
"165","East Timor","32",2017-04-17
"166","Botswana","216",2017-04-17
"167","Serbia","3550",2017-04-17
"168","Uzbekistan","231",2017-04-17
"169","Uganda","683",2017-04-17
"170","Togo","115",2017-04-17
"171","Slovakia","4065",2017-04-17
"172","Paraguay","227",2017-04-17
"173","Nepal","820",2017-04-17
"174","Kazakhstan","1555",2017-04-17
"175","Chad","10",2017-04-17
"176","Crimea","4826",2017-04-17
"177","San Marino","32",2017-04-17
"178","Saint Kitts and Nevis (St. Kitts, Nev) hotels","35",2017-04-17
"179","Papua New Guinea (Pap New Guinea) hotels","44",2017-04-17
"180","Palau","31",2017-04-17
"181","Namibia","449",2017-04-17
"182","Mauritania","53",2017-04-17
"183","Honduras","499",2017-04-17
"184","Guinea-Bissau","4",2017-04-17
"185","Grenada","61",2017-04-17
"186","Burundi","28",2017-04-17
"187","Burkina Faso","44",2017-04-17
