"","Country","Hotels","Date"
"1","Puerto Rico","560",2017-03-29
"2","Bermuda","34",2017-03-29
"3","Haiti","87",2017-03-29
"4","Iceland","1546",2017-03-29
"5","Saint Barts (St. Barts) hotels","147",2017-03-29
"6","Canada","11480",2017-03-29
"7","Cuba","76",2017-03-29
"8","Turks & Caicos Islands (Turks, Ccs Is) hotels","101",2017-03-29
"9","Aruba","349",2017-03-29
"10","Guam","36",2017-03-29
"11","Singapore","482",2017-03-29
"12","Barbados","392",2017-03-29
"13","United Kingdom (the UK) hotels","44986",2017-03-29
"14","Bahamas","225",2017-03-29
"15","Mexico","11802",2017-03-29
"16","Israel","3061",2017-03-29
"17","Ireland","4489",2017-03-29
"18","Costa Rica","3318",2017-03-29
"19","Panama","947",2017-03-29
"20","Martinique","288",2017-03-29
"21","India","26042",2017-03-29
"22","Maldives","585",2017-03-29
"23","Italy","137001",2017-03-29
"24","Saint Martin","299",2017-03-29
"25","Cayman Islands","91",2017-03-29
"26","Guyana","26",2017-03-29
"27","Jamaica","870",2017-03-29
"28","Germany","46364",2017-03-29
"29","Guadeloupe","629",2017-03-29
"30","U.S. Virgin Islands (US Virgin Is) hotels","207",2017-03-29
"31","Malta","1128",2017-03-29
"32","Denmark","23222",2017-03-29
"33","New Zealand","5119",2017-03-29
"34","Trinidad and Tobago (Trinidad Tbgo) hotels","142",2017-03-29
"35","Greenland","25",2017-03-29
"36","Philippines","3705",2017-03-29
"37","Monaco","29",2017-03-29
"38","Fiji","211",2017-03-29
"39","Dominican Republic (Dominican Rep) hotels","1613",2017-03-29
"40","Macau","67",2017-03-29
"41","Belgium","7263",2017-03-29
"42","Belize","470",2017-03-29
"43","Greece","26143",2017-03-29
"44","South Africa","11227",2017-03-29
"45","Saint Lucia","166",2017-03-29
"46","Finland","2663",2017-03-29
"47","Curaçao","381",2017-03-29
"48","Turkey","14959",2017-03-29
"49","Nigeria","862",2017-03-29
"50","Australia","16496",2017-03-29
"51","South Korea","4734",2017-03-29
"52","Japan","11887",2017-03-29
"53","Ghana","768",2017-03-29
"54","Samoa","67",2017-03-29
"55","Austria","24296",2017-03-29
"56","Thailand","18645",2017-03-29
"57","Seychelles","457",2017-03-29
"58","St. Maarten","194",2017-03-29
"59","Mauritius","1050",2017-03-29
"60","Luxembourg","320",2017-03-29
"61","France","73486",2017-03-29
"62","Dominica","112",2017-03-29
"63","Oman","314",2017-03-29
"64","Malaysia","6172",2017-03-29
"65","Liechtenstein","37",2017-03-29
"66","Colombia","7495",2017-03-29
"67","Tanzania","1391",2017-03-29
"68","Peru","4659",2017-03-29
"69","Bahrain","158",2017-03-29
"70","Croatia","68045",2017-03-29
"71","Sweden","6979",2017-03-29
"72","Iraq","92",2017-03-29
"73","Argentina","11335",2017-03-29
"74","Solomon Islands (Solomon Is) hotels","22",2017-03-29
"75","Norway","4302",2017-03-29
"76","Gambia","100",2017-03-29
"77","Portugal","20040",2017-03-29
"78","Switzerland","11058",2017-03-29
"79","United Arab Emirates (U.A. Emirates) hotels","1632",2017-03-29
"80","Qatar","126",2017-03-29
"81","Chile","8802",2017-03-29
"82","Slovenia","3314",2017-03-29
"83","Spain","64769",2017-03-29
"84","New Caledonia","44",2017-03-29
"85","Tunisia","639",2017-03-29
"86","Tonga","60",2017-03-29
"87","Taiwan","5216",2017-03-29
"88","Jordan","536",2017-03-29
"89","Ethiopia","409",2017-03-29
"90","Egypt","1484",2017-03-29
"91","Ecuador","2310",2017-03-29
"92","Azerbaijan","641",2017-03-29
"93","Nicaragua","763",2017-03-29
"94","Faroe Islands","33",2017-03-29
"95","Cyprus","3651",2017-03-29
"96","Armenia","1308",2017-03-29
"97","Anguilla","69",2017-03-29
"98","Vietnam","7684",2017-03-29
"99","Vanuatu","156",2017-03-29
"100","Hungary","11181",2017-03-29
"101","El Salvador","232",2017-03-29
"102","Sri Lanka","8205",2017-03-29
"103","Senegal","439",2017-03-29
"104","Poland","22718",2017-03-29
"105","Guatemala","687",2017-03-29
"106","Montenegro","5149",2017-03-29
"107","Morocco","4867",2017-03-29
"108","Ukraine","6534",2017-03-29
"109","Mozambique","200",2017-03-29
"110","China","47596",2017-03-29
"111","Bolivia","571",2017-03-29
"112","Saudi Arabia","2328",2017-03-29
