"","Country","Hotels","Date"
"1","Puerto Rico","559",2017-03-28
"2","Bermuda","33",2017-03-28
"3","Haiti","87",2017-03-28
"4","Iceland","1546",2017-03-28
"5","Saint Barts (St. Barts) hotels","147",2017-03-28
"6","Canada","11483",2017-03-28
"7","Cuba","76",2017-03-28
"8","Turks & Caicos Islands (Turks, Ccs Is) hotels","100",2017-03-28
"9","Aruba","349",2017-03-28
"10","Guam","36",2017-03-28
"11","Singapore","481",2017-03-28
"12","Barbados","392",2017-03-28
"13","United Kingdom (the UK) hotels","44947",2017-03-28
"14","Bahamas","225",2017-03-28
"15","Mexico","11794",2017-03-28
"16","Israel","3057",2017-03-28
"17","Ireland","4479",2017-03-28
"18","Costa Rica","3324",2017-03-28
"19","Panama","937",2017-03-28
"20","Martinique","285",2017-03-28
"21","India","26088",2017-03-28
"22","Maldives","586",2017-03-28
"23","Italy","137039",2017-03-28
"24","Saint Martin","299",2017-03-28
"25","Cayman Islands","91",2017-03-28
"26","Guyana","26",2017-03-28
"27","Jamaica","867",2017-03-28
"28","Germany","46329",2017-03-28
"29","Guadeloupe","626",2017-03-28
"30","U.S. Virgin Islands (US Virgin Is) hotels","199",2017-03-28
"31","Malta","1122",2017-03-28
"32","Denmark","23343",2017-03-28
"33","New Zealand","5109",2017-03-28
"34","Trinidad and Tobago (Trinidad Tbgo) hotels","142",2017-03-28
"35","Greenland","25",2017-03-28
"36","Philippines","3696",2017-03-28
"37","Monaco","29",2017-03-28
"38","Fiji","211",2017-03-28
"39","Dominican Republic (Dominican Rep) hotels","1612",2017-03-28
"40","Macau","67",2017-03-28
"41","Belgium","7255",2017-03-28
"42","Belize","468",2017-03-28
"43","Greece","26116",2017-03-28
"44","South Africa","11203",2017-03-28
"45","Saint Lucia","166",2017-03-28
"46","Finland","2666",2017-03-28
"47","Curaçao","380",2017-03-28
"48","Turkey","14947",2017-03-28
"49","Nigeria","860",2017-03-28
"50","Australia","16483",2017-03-28
"51","South Korea","4774",2017-03-28
