"","Country","Hotels","Date"
"1","Puerto Rico","561",2017-03-31
"2","Bermuda","34",2017-03-31
"3","Haiti","89",2017-03-31
"4","Iceland","1551",2017-03-31
"5","Saint Barts (St. Barts) hotels","149",2017-03-31
"6","Canada","11501",2017-03-31
"7","Cuba","76",2017-03-31
"8","Turks & Caicos Islands (Turks, Ccs Is) hotels","102",2017-03-31
"9","Aruba","350",2017-03-31
"10","Guam","35",2017-03-31
"11","Singapore","483",2017-03-31
"12","Barbados","399",2017-03-31
"13","United Kingdom (the UK) hotels","45078",2017-03-31
"14","Bahamas","225",2017-03-31
"15","Mexico","11850",2017-03-31
"16","Israel","3065",2017-03-31
"17","Ireland","4523",2017-03-31
"18","Costa Rica","3320",2017-03-31
"19","Panama","948",2017-03-31
"20","Martinique","290",2017-03-31
"21","India","25916",2017-03-31
"22","Maldives","582",2017-03-31
"23","Italy","137599",2017-03-31
"24","Saint Martin","300",2017-03-31
"25","Cayman Islands","91",2017-03-31
"26","Guyana","26",2017-03-31
"27","Jamaica","874",2017-03-31
"28","Germany","46420",2017-03-31
"29","Guadeloupe","631",2017-03-31
"30","U.S. Virgin Islands (US Virgin Is) hotels","207",2017-03-31
"31","Malta","1133",2017-03-31
"32","Denmark","23358",2017-03-31
"33","New Zealand","5131",2017-03-31
"34","Trinidad and Tobago (Trinidad Tbgo) hotels","142",2017-03-31
"35","Greenland","25",2017-03-31
"36","Philippines","3732",2017-03-31
"37","Monaco","29",2017-03-31
"38","Fiji","212",2017-03-31
"39","Dominican Republic (Dominican Rep) hotels","1631",2017-03-31
"40","Macau","67",2017-03-31
"41","Belgium","7274",2017-03-31
"42","Belize","472",2017-03-31
"43","Greece","26149",2017-03-31
"44","South Africa","11302",2017-03-31
"45","Saint Lucia","167",2017-03-31
"46","Finland","2668",2017-03-31
"47","Curaçao","381",2017-03-31
"48","Turkey","15016",2017-03-31
"49","Nigeria","863",2017-03-31
"50","Australia","16568",2017-03-31
"51","South Korea","4700",2017-03-31
"52","Japan","11917",2017-03-31
"53","Ghana","771",2017-03-31
"54","Samoa","67",2017-03-31
"55","Austria","24299",2017-03-31
"56","Thailand","18690",2017-03-31
"57","Seychelles","457",2017-03-31
"58","St. Maarten","194",2017-03-31
"59","Mauritius","1052",2017-03-31
"60","Luxembourg","321",2017-03-31
"61","France","72399",2017-03-31
"62","Dominica","112",2017-03-31
"63","Oman","314",2017-03-31
"64","Malaysia","6173",2017-03-31
"65","Liechtenstein","37",2017-03-31
"66","Colombia","7533",2017-03-31
"67","Tanzania","1406",2017-03-31
"68","Peru","4678",2017-03-31
"69","Bahrain","158",2017-03-31
"70","Croatia","68087",2017-03-31
"71","Sweden","6987",2017-03-31
"72","Iraq","92",2017-03-31
"73","Argentina","11367",2017-03-31
"74","Solomon Islands (Solomon Is) hotels","22",2017-03-31
"75","Norway","4314",2017-03-31
"76","Gambia","101",2017-03-31
"77","Portugal","20105",2017-03-31
"78","Switzerland","11058",2017-03-31
"79","United Arab Emirates (U.A. Emirates) hotels","1632",2017-03-31
"80","Qatar","127",2017-03-31
"81","Chile","8878",2017-03-31
"82","Slovenia","3322",2017-03-31
"83","Spain","65208",2017-03-31
"84","New Caledonia","44",2017-03-31
"85","Tunisia","636",2017-03-31
"86","Tonga","60",2017-03-31
"87","Taiwan","5235",2017-03-31
"88","Jordan","537",2017-03-31
"89","Ethiopia","414",2017-03-31
"90","Egypt","1485",2017-03-31
"91","Ecuador","2312",2017-03-31
"92","Azerbaijan","647",2017-03-31
"93","Nicaragua","768",2017-03-31
"94","Faroe Islands","33",2017-03-31
"95","Cyprus","3666",2017-03-31
"96","Armenia","1314",2017-03-31
"97","Anguilla","70",2017-03-31
"98","Vietnam","7644",2017-03-31
"99","Vanuatu","156",2017-03-31
"100","Hungary","11222",2017-03-31
"101","El Salvador","233",2017-03-31
"102","Sri Lanka","8242",2017-03-31
"103","Senegal","441",2017-03-31
"104","Poland","22772",2017-03-31
"105","Guatemala","686",2017-03-31
"106","Montenegro","5174",2017-03-31
"107","Morocco","4878",2017-03-31
"108","Ukraine","6554",2017-03-31
"109","Mozambique","201",2017-03-31
"110","China","47476",2017-03-31
"111","Bolivia","571",2017-03-31
"112","Saudi Arabia","2347",2017-03-31
"113","Rwanda","226",2017-03-31
"114","Niue","7",2017-03-31
"115","Lithuania","2948",2017-03-31
"116","Kuwait","130",2017-03-31
"117","Kenya","1910",2017-03-31
"118","Cook Islands","170",2017-03-31
"119","Brunei (Brunei D.) hotels","31",2017-03-31
"120","Netherlands","10835",2017-03-31
"121","Guinea","20",2017-03-31
"122","Czech Republic (Czech Rep.) hotels","11218",2017-03-31
"123","Albania","1767",2017-03-31
"124","Russia (Russian Fed.) hotels","37912",2017-03-31
"125","Romania","8863",2017-03-31
"126","Micronesia","6",2017-03-31
"127","Cape Verde","422",2017-03-31
"128","Andorra","481",2017-03-31
"129","Madagascar","319",2017-03-31
