"","Country","Hotels","Date"
"1","Puerto Rico","569",2017-04-13
"2","Saint Barts (St. Barts) hotels","150",2017-04-13
"3","Bermuda","35",2017-04-13
"4","Iceland","1564",2017-04-13
"5","Haiti","91",2017-04-13
"6","Canada","11586",2017-04-13
"7","Cuba","76",2017-04-13
"8","Turks & Caicos Islands (Turks, Ccs Is) hotels","103",2017-04-13
"9","Guam","37",2017-04-13
"10","Singapore","484",2017-04-13
"11","Ireland","4578",2017-04-13
"12","United Kingdom (the UK) hotels","45674",2017-04-13
"13","Aruba","354",2017-04-13
"14","Israel","3079",2017-04-13
"15","Mexico","11986",2017-04-13
"16","Bahamas","230",2017-04-13
"17","Barbados","399",2017-04-13
"18","Saint Martin","301",2017-04-13
"19","Cayman Islands","91",2017-04-13
"20","India","26378",2017-04-13
"21","Costa Rica","3364",2017-04-13
"22","Martinique","296",2017-04-13
"23","Italy","139147",2017-04-13
"24","Germany","46698",2017-04-13
"25","Malta","1149",2017-04-13
"26","Guyana","28",2017-04-13
"27","Maldives","573",2017-04-13
"28","Fiji","211",2017-04-13
"29","U.S. Virgin Islands (US Virgin Is) hotels","200",2017-04-13
"30","New Zealand","5204",2017-04-13
"31","Guadeloupe","640",2017-04-13
"32","Panama","952",2017-04-13
"33","Philippines","3810",2017-04-13
"34","Jamaica","893",2017-04-13
"35","Greece","26421",2017-04-13
"36","South Africa","11453",2017-04-13
"37","Dominican Republic (Dominican Rep) hotels","1662",2017-04-13
"38","Turkey","15031",2017-04-13
"39","Saint Lucia","172",2017-04-13
"40","Belgium","7286",2017-04-13
"41","Trinidad and Tobago (Trinidad Tbgo) hotels","144",2017-04-13
"42","Samoa","68",2017-04-13
"43","Belize","472",2017-04-13
"44","France","73033",2017-04-13
"45","Macau","67",2017-04-13
"46","Denmark","23425",2017-04-13
"47","Australia","16732",2017-04-13
"48","Greenland","25",2017-04-13
"49","Ghana","782",2017-04-13
"50","Austria","24428",2017-04-13
"51","St. Maarten","194",2017-04-13
"52","Seychelles","460",2017-04-13
"53","Monaco","29",2017-04-13
"54","South Korea","4725",2017-04-13
"55","Bahrain","162",2017-04-13
"56","Iraq","93",2017-04-13
"57","Vietnam","7743",2017-04-13
"58","Thailand","18919",2017-04-13
"59","Tanzania","1437",2017-04-13
"60","Oman","314",2017-04-13
"61","Colombia","7659",2017-04-13
"62","Solomon Islands (Solomon Is) hotels","22",2017-04-13
"63","Mauritius","1060",2017-04-13
"64","Luxembourg","322",2017-04-13
"65","Liechtenstein","37",2017-04-13
"66","Japan","12173",2017-04-13
"67","Croatia","68796",2017-04-13
"68","Curaçao","385",2017-04-13
"69","Finland","2686",2017-04-13
"70","Qatar","127",2017-04-13
"71","Portugal","20389",2017-04-13
"72","Nigeria","875",2017-04-13
"73","Norway","4349",2017-04-13
"74","Malaysia","6300",2017-04-13
"75","Ecuador","2324",2017-04-13
"76","Argentina","11467",2017-04-13
"77","Tonga","59",2017-04-13
"78","Sweden","7019",2017-04-13
"79","Gambia","102",2017-04-13
"80","Sri Lanka","8447",2017-04-13
"81","Anguilla","79",2017-04-13
"82","Switzerland","11027",2017-04-13
"83","Peru","4681",2017-04-13
"84","Tunisia","651",2017-04-13
"85","Kuwait","129",2017-04-13
"86","United Arab Emirates (U.A. Emirates) hotels","1648",2017-04-13
"87","Jordan","552",2017-04-13
"88","Ethiopia","424",2017-04-13
"89","Senegal","447",2017-04-13
"90","Chile","9050",2017-04-13
"91","Spain","66248",2017-04-13
"92","Faroe Islands","34",2017-04-13
"93","Dominica","114",2017-04-13
"94","Armenia","1326",2017-04-13
"95","Egypt","1512",2017-04-13
"96","New Caledonia","46",2017-04-13
"97","Cyprus","3728",2017-04-13
"98","Saudi Arabia","2419",2017-04-13
"99","Nicaragua","782",2017-04-13
"100","Morocco","4887",2017-04-13
"101","Cook Islands","172",2017-04-13
"102","Montenegro","5249",2017-04-13
"103","Poland","23123",2017-04-13
"104","Netherlands","10853",2017-04-13
"105","Hungary","11292",2017-04-13
