"","Country","Hotels","Date"
"1","Puerto Rico","569",2017-04-14
"2","Saint Barts (St. Barts) hotels","150",2017-04-14
"3","Bermuda","35",2017-04-14
"4","Iceland","1564",2017-04-14
"5","Haiti","91",2017-04-14
"6","Canada","11592",2017-04-14
"7","Cuba","76",2017-04-14
"8","Turks & Caicos Islands (Turks, Ccs Is) hotels","103",2017-04-14
"9","Guam","37",2017-04-14
"10","Singapore","484",2017-04-14
"11","Ireland","4583",2017-04-14
"12","United Kingdom (the UK) hotels","45730",2017-04-14
"13","Aruba","354",2017-04-14
"14","Israel","3083",2017-04-14
"15","Mexico","12007",2017-04-14
"16","Bahamas","234",2017-04-14
"17","Barbados","399",2017-04-14
"18","Saint Martin","301",2017-04-14
"19","Cayman Islands","91",2017-04-14
"20","India","26373",2017-04-14
"21","Costa Rica","3363",2017-04-14
"22","Martinique","297",2017-04-14
"23","Italy","139307",2017-04-14
"24","Germany","46719",2017-04-14
"25","Malta","1153",2017-04-14
"26","Guyana","28",2017-04-14
"27","Maldives","573",2017-04-14
"28","Fiji","211",2017-04-14
"29","U.S. Virgin Islands (US Virgin Is) hotels","208",2017-04-14
"30","New Zealand","5206",2017-04-14
"31","Guadeloupe","640",2017-04-14
"32","Panama","953",2017-04-14
"33","Philippines","3822",2017-04-14
"34","Jamaica","902",2017-04-14
"35","Greece","26461",2017-04-14
"36","South Africa","11468",2017-04-14
"37","Dominican Republic (Dominican Rep) hotels","1664",2017-04-14
"38","Turkey","15035",2017-04-14
"39","Saint Lucia","171",2017-04-14
"40","Belgium","7288",2017-04-14
"41","Trinidad and Tobago (Trinidad Tbgo) hotels","144",2017-04-14
"42","Samoa","68",2017-04-14
"43","Belize","472",2017-04-14
"44","France","73110",2017-04-14
"45","Macau","67",2017-04-14
"46","Denmark","23429",2017-04-14
"47","Australia","16732",2017-04-14
"48","Greenland","25",2017-04-14
"49","Ghana","790",2017-04-14
"50","Austria","24439",2017-04-14
"51","St. Maarten","194",2017-04-14
"52","Seychelles","460",2017-04-14
"53","Monaco","29",2017-04-14
"54","South Korea","4726",2017-04-14
"55","Bahrain","165",2017-04-14
"56","Iraq","93",2017-04-14
"57","Vietnam","7762",2017-04-14
"58","Thailand","18942",2017-04-14
"59","Tanzania","1438",2017-04-14
"60","Oman","316",2017-04-14
"61","Colombia","7667",2017-04-14
"62","Solomon Islands (Solomon Is) hotels","22",2017-04-14
"63","Mauritius","1062",2017-04-14
"64","Luxembourg","322",2017-04-14
"65","Liechtenstein","37",2017-04-14
"66","Japan","12174",2017-04-14
"67","Croatia","69029",2017-04-14
"68","Curaçao","385",2017-04-14
"69","Finland","2690",2017-04-14
"70","Qatar","127",2017-04-14
"71","Portugal","20430",2017-04-14
"72","Nigeria","876",2017-04-14
"73","Norway","4351",2017-04-14
"74","Malaysia","6330",2017-04-14
"75","Ecuador","2327",2017-04-14
"76","Argentina","11488",2017-04-14
"77","Tonga","59",2017-04-14
"78","Sweden","7021",2017-04-14
"79","Gambia","102",2017-04-14
"80","Sri Lanka","8479",2017-04-14
"81","Anguilla","79",2017-04-14
"82","Switzerland","11027",2017-04-14
"83","Peru","4692",2017-04-14
"84","Tunisia","654",2017-04-14
"85","Kuwait","129",2017-04-14
"86","United Arab Emirates (U.A. Emirates) hotels","1651",2017-04-14
"87","Jordan","551",2017-04-14
"88","Ethiopia","426",2017-04-14
"89","Senegal","446",2017-04-14
"90","Chile","9067",2017-04-14
"91","Spain","66364",2017-04-14
"92","Faroe Islands","34",2017-04-14
"93","Dominica","114",2017-04-14
"94","Armenia","1331",2017-04-14
"95","Egypt","1510",2017-04-14
"96","New Caledonia","46",2017-04-14
"97","Cyprus","3723",2017-04-14
"98","Saudi Arabia","2423",2017-04-14
"99","Nicaragua","782",2017-04-14
"100","Morocco","4897",2017-04-14
"101","Cook Islands","173",2017-04-14
"102","Montenegro","5253",2017-04-14
"103","Poland","23171",2017-04-14
"104","Netherlands","10860",2017-04-14
"105","Hungary","11311",2017-04-14
"106","Vanuatu","158",2017-04-14
"107","Slovenia","3362",2017-04-14
"108","El Salvador","234",2017-04-14
"109","China","47935",2017-04-14
"110","Azerbaijan","672",2017-04-14
"111","Ukraine","6666",2017-04-14
"112","Taiwan","5323",2017-04-14
"113","Romania","9010",2017-04-14
"114","Kenya","1940",2017-04-14
"115","Brunei (Brunei D.) hotels","31",2017-04-14
"116","Bhutan","57",2017-04-14
"117","Rwanda","244",2017-04-14
"118","Mozambique","204",2017-04-14
"119","Lithuania","2978",2017-04-14
"120","Guinea","22",2017-04-14
"121","Cape Verde","423",2017-04-14
"122","Bolivia","578",2017-04-14
"123","Moldova","385",2017-04-14
"124","Micronesia","5",2017-04-14
"125","French Polynesia (Fr Polynesia) hotels","269",2017-04-14
"126","Czech Republic (Czech Rep.) hotels","11173",2017-04-14
"127","Bulgaria","8400",2017-04-14
"128","Russia (Russian Fed.) hotels","38822",2017-04-14
"129","Latvia","2201",2017-04-14
"130","Indonesia","12808",2017-04-14
"131","Andorra","487",2017-04-14
"132","Equatorial Guinea (Eq. Guinea) hotels","8",2017-04-14
"133","Ivory Coast","297",2017-04-14
"134","Angola","93",2017-04-14
"135","Kosovo","133",2017-04-14
"136","Pakistan","273",2017-04-14
"137","Niue","7",2017-04-14
"138","Myanmar","1133",2017-04-14
"139","Guatemala","698",2017-04-14
"140","Belarus","2627",2017-04-14
"141","Northern Mariana Islands (N Mariana Is) hotels","46",2017-04-14
"142","Lebanon","390",2017-04-14
"143","Laos","955",2017-04-14
"144","Kyrgyzstan","519",2017-04-14
"145","French Guiana","31",2017-04-14
"146","Cameroon","213",2017-04-14
"147","Albania","1784",2017-04-14
"148","Suriname","108",2017-04-14
"149","Madagascar","321",2017-04-14
"150","Estonia","2576",2017-04-14
"151","Djibouti","14",2017-04-14
"152","Cambodia","2461",2017-04-14
"153","Bosnia and Herzegovina (Bosnia Herz) hotels","2558",2017-04-14
"154","Benin","118",2017-04-14
"155","Algeria","68",2017-04-14
"156","Venezuela","37",2017-04-14
"157","Uruguay","1930",2017-04-14
"158","Tajikistan","81",2017-04-14
"159","Swaziland","37",2017-04-14
"160","Mongolia","160",2017-04-14
"161","Mayotte","9",2017-04-14
"162","Libya","4",2017-04-14
"163","Georgia","6323",2017-04-14
"164","Gabon","42",2017-04-14
"165","East Timor","32",2017-04-14
"166","Botswana","216",2017-04-14
"167","Serbia","3532",2017-04-14
"168","Uzbekistan","229",2017-04-14
"169","Uganda","683",2017-04-14
"170","Togo","115",2017-04-14
"171","Slovakia","4059",2017-04-14
"172","Paraguay","227",2017-04-14
"173","Nepal","820",2017-04-14
"174","Kazakhstan","1540",2017-04-14
"175","Chad","10",2017-04-14
"176","Crimea","4796",2017-04-14
"177","San Marino","32",2017-04-14
"178","Saint Kitts and Nevis (St. Kitts, Nev) hotels","35",2017-04-14
"179","Papua New Guinea (Pap New Guinea) hotels","44",2017-04-14
"180","Palau","32",2017-04-14
"181","Namibia","448",2017-04-14
"182","Mauritania","53",2017-04-14
"183","Honduras","499",2017-04-14
"184","Guinea-Bissau","4",2017-04-14
"185","Grenada","60",2017-04-14
"186","Burundi","28",2017-04-14
"187","Burkina Faso","44",2017-04-14
