"","Country","Hotels","Date"
"1","Puerto Rico","561",2017-03-30
"2","Bermuda","34",2017-03-30
"3","Haiti","88",2017-03-30
"4","Iceland","1550",2017-03-30
"5","Saint Barts (St. Barts) hotels","147",2017-03-30
"6","Canada","11488",2017-03-30
"7","Cuba","76",2017-03-30
"8","Turks & Caicos Islands (Turks, Ccs Is) hotels","102",2017-03-30
"9","Aruba","349",2017-03-30
"10","Guam","35",2017-03-30
"11","Singapore","483",2017-03-30
"12","Barbados","393",2017-03-30
"13","United Kingdom (the UK) hotels","45029",2017-03-30
"14","Bahamas","225",2017-03-30
"15","Mexico","11865",2017-03-30
"16","Israel","3064",2017-03-30
"17","Ireland","4508",2017-03-30
"18","Costa Rica","3321",2017-03-30
"19","Panama","948",2017-03-30
"20","Martinique","289",2017-03-30
"21","India","26046",2017-03-30
"22","Maldives","586",2017-03-30
"23","Italy","137430",2017-03-30
"24","Saint Martin","300",2017-03-30
"25","Cayman Islands","91",2017-03-30
"26","Guyana","26",2017-03-30
"27","Jamaica","872",2017-03-30
"28","Germany","46401",2017-03-30
"29","Guadeloupe","630",2017-03-30
"30","U.S. Virgin Islands (US Virgin Is) hotels","199",2017-03-30
"31","Malta","1132",2017-03-30
"32","Denmark","23346",2017-03-30
"33","New Zealand","5126",2017-03-30
"34","Trinidad and Tobago (Trinidad Tbgo) hotels","143",2017-03-30
"35","Greenland","25",2017-03-30
"36","Philippines","3718",2017-03-30
"37","Monaco","29",2017-03-30
"38","Fiji","211",2017-03-30
"39","Dominican Republic (Dominican Rep) hotels","1625",2017-03-30
"40","Macau","67",2017-03-30
"41","Belgium","7269",2017-03-30
"42","Belize","472",2017-03-30
"43","Greece","26174",2017-03-30
"44","South Africa","11264",2017-03-30
"45","Saint Lucia","167",2017-03-30
"46","Finland","2666",2017-03-30
"47","Curaçao","381",2017-03-30
"48","Turkey","15000",2017-03-30
"49","Nigeria","861",2017-03-30
"50","Australia","16514",2017-03-30
"51","South Korea","4736",2017-03-30
"52","Japan","11916",2017-03-30
"53","Ghana","768",2017-03-30
"54","Samoa","67",2017-03-30
"55","Austria","24293",2017-03-30
"56","Thailand","18681",2017-03-30
"57","Seychelles","457",2017-03-30
"58","St. Maarten","194",2017-03-30
"59","Mauritius","1054",2017-03-30
"60","Luxembourg","321",2017-03-30
"61","France","72330",2017-03-30
"62","Dominica","112",2017-03-30
"63","Oman","313",2017-03-30
"64","Malaysia","6190",2017-03-30
"65","Liechtenstein","37",2017-03-30
"66","Colombia","7513",2017-03-30
"67","Tanzania","1398",2017-03-30
"68","Peru","4668",2017-03-30
"69","Bahrain","158",2017-03-30
"70","Croatia","68189",2017-03-30
"71","Sweden","6982",2017-03-30
"72","Iraq","92",2017-03-30
"73","Argentina","11352",2017-03-30
"74","Solomon Islands (Solomon Is) hotels","22",2017-03-30
"75","Norway","4307",2017-03-30
"76","Gambia","100",2017-03-30
"77","Portugal","20078",2017-03-30
"78","Switzerland","11063",2017-03-30
"79","United Arab Emirates (U.A. Emirates) hotels","1628",2017-03-30
"80","Qatar","127",2017-03-30
"81","Chile","8822",2017-03-30
"82","Slovenia","3320",2017-03-30
"83","Spain","65185",2017-03-30
"84","New Caledonia","44",2017-03-30
"85","Tunisia","643",2017-03-30
"86","Tonga","60",2017-03-30
"87","Taiwan","5240",2017-03-30
"88","Jordan","537",2017-03-30
"89","Ethiopia","410",2017-03-30
"90","Egypt","1484",2017-03-30
"91","Ecuador","2311",2017-03-30
"92","Azerbaijan","643",2017-03-30
"93","Nicaragua","764",2017-03-30
"94","Faroe Islands","33",2017-03-30
"95","Cyprus","3664",2017-03-30
"96","Armenia","1310",2017-03-30
"97","Anguilla","69",2017-03-30
"98","Vietnam","7698",2017-03-30
"99","Vanuatu","156",2017-03-30
"100","Hungary","11209",2017-03-30
"101","El Salvador","232",2017-03-30
"102","Sri Lanka","8231",2017-03-30
"103","Senegal","439",2017-03-30
"104","Poland","22748",2017-03-30
"105","Guatemala","688",2017-03-30
"106","Montenegro","5162",2017-03-30
"107","Morocco","4871",2017-03-30
"108","Ukraine","6545",2017-03-30
"109","Mozambique","200",2017-03-30
"110","China","47637",2017-03-30
