"","Country","Hotels","Date"
"1","Puerto Rico","563",2017-04-03
"2","Bermuda","34",2017-04-03
"3","Haiti","89",2017-04-03
"4","Iceland","1553",2017-04-03
"5","Saint Barts (St. Barts) hotels","149",2017-04-03
"6","Canada","11516",2017-04-03
"7","Cuba","76",2017-04-03
"8","Turks & Caicos Islands (Turks, Ccs Is) hotels","103",2017-04-03
"9","Aruba","352",2017-04-03
"10","Guam","35",2017-04-03
"11","Singapore","481",2017-04-03
"12","Barbados","397",2017-04-03
"13","United Kingdom (the UK) hotels","45192",2017-04-03
"14","Bahamas","229",2017-04-03
"15","Mexico","11862",2017-04-03
"16","Israel","3061",2017-04-03
"17","Ireland","4547",2017-04-03
"18","Costa Rica","3326",2017-04-03
"19","Panama","945",2017-04-03
"20","Martinique","290",2017-04-03
"21","India","25898",2017-04-03
"22","Maldives","573",2017-04-03
"23","Italy","137915",2017-04-03
"24","Saint Martin","300",2017-04-03
"25","Cayman Islands","91",2017-04-03
"26","Guyana","27",2017-04-03
"27","Jamaica","874",2017-04-03
"28","Germany","46436",2017-04-03
"29","Guadeloupe","631",2017-04-03
"30","U.S. Virgin Islands (US Virgin Is) hotels","207",2017-04-03
"31","Malta","1131",2017-04-03
"32","Denmark","23422",2017-04-03
"33","New Zealand","5146",2017-04-03
"34","Trinidad and Tobago (Trinidad Tbgo) hotels","143",2017-04-03
"35","Greenland","25",2017-04-03
"36","Philippines","3731",2017-04-03
"37","Monaco","29",2017-04-03
"38","Fiji","210",2017-04-03
"39","Dominican Republic (Dominican Rep) hotels","1640",2017-04-03
"40","Macau","67",2017-04-03
"41","Belgium","7279",2017-04-03
"42","Belize","472",2017-04-03
"43","Greece","26205",2017-04-03
"44","South Africa","11338",2017-04-03
"45","Saint Lucia","169",2017-04-03
"46","Finland","2675",2017-04-03
"47","Curaçao","381",2017-04-03
"48","Turkey","14988",2017-04-03
"49","Nigeria","867",2017-04-03
"50","Australia","16589",2017-04-03
"51","South Korea","4686",2017-04-03
"52","Japan","12065",2017-04-03
"53","Ghana","770",2017-04-03
"54","Samoa","67",2017-04-03
"55","Austria","24292",2017-04-03
"56","Thailand","18696",2017-04-03
"57","Seychelles","458",2017-04-03
"58","St. Maarten","194",2017-04-03
"59","Mauritius","1057",2017-04-03
"60","Luxembourg","320",2017-04-03
"61","France","72494",2017-04-03
"62","Dominica","112",2017-04-03
"63","Oman","314",2017-04-03
"64","Malaysia","6204",2017-04-03
"65","Liechtenstein","37",2017-04-03
"66","Colombia","7557",2017-04-03
"67","Tanzania","1414",2017-04-03
"68","Peru","4635",2017-04-03
"69","Bahrain","158",2017-04-03
"70","Croatia","68060",2017-04-03
"71","Sweden","6997",2017-04-03
"72","Iraq","92",2017-04-03
"73","Argentina","11367",2017-04-03
"74","Solomon Islands (Solomon Is) hotels","22",2017-04-03
"75","Norway","4321",2017-04-03
"76","Gambia","101",2017-04-03
"77","Portugal","20109",2017-04-03
"78","Switzerland","11042",2017-04-03
"79","United Arab Emirates (U.A. Emirates) hotels","1635",2017-04-03
"80","Qatar","127",2017-04-03
"81","Chile","8909",2017-04-03
"82","Slovenia","3324",2017-04-03
"83","Spain","65423",2017-04-03
"84","New Caledonia","45",2017-04-03
"85","Tunisia","639",2017-04-03
"86","Tonga","60",2017-04-03
"87","Taiwan","5255",2017-04-03
"88","Jordan","541",2017-04-03
"89","Ethiopia","419",2017-04-03
"90","Egypt","1491",2017-04-03
"91","Ecuador","2314",2017-04-03
"92","Azerbaijan","643",2017-04-03
"93","Nicaragua","770",2017-04-03
"94","Faroe Islands","34",2017-04-03
"95","Cyprus","3670",2017-04-03
"96","Armenia","1306",2017-04-03
"97","Anguilla","70",2017-04-03
"98","Vietnam","7670",2017-04-03
"99","Vanuatu","156",2017-04-03
"100","Hungary","11222",2017-04-03
"101","El Salvador","234",2017-04-03
