"","Country","Hotels","Date"
"1","Puerto Rico","569",2017-04-19
"2","Bermuda","35",2017-04-19
"3","Saint Barts (St. Barts) hotels","151",2017-04-19
"4","Iceland","1567",2017-04-19
"5","Haiti","92",2017-04-19
"6","Canada","11630",2017-04-19
"7","Cuba","76",2017-04-19
"8","Turks & Caicos Islands (Turks, Ccs Is) hotels","105",2017-04-19
"9","Singapore","487",2017-04-19
"10","United Kingdom (the UK) hotels","45877",2017-04-19
"11","Ireland","4596",2017-04-19
"12","Bahamas","234",2017-04-19
"13","Guam","37",2017-04-19
"14","Israel","3094",2017-04-19
"15","Barbados","401",2017-04-19
"16","Costa Rica","3377",2017-04-19
"17","Cayman Islands","150",2017-04-19
"18","Saint Martin","300",2017-04-19
"19","Aruba","354",2017-04-19
"20","Mexico","12167",2017-04-19
"21","India","26602",2017-04-19
"22","Germany","46831",2017-04-19
"23","Martinique","302",2017-04-19
"24","Malta","1163",2017-04-19
"25","Philippines","3849",2017-04-19
"26","Italy","139919",2017-04-19
"27","Fiji","212",2017-04-19
"28","Guyana","28",2017-04-19
"29","Jamaica","904",2017-04-19
"30","U.S. Virgin Islands (US Virgin Is) hotels","201",2017-04-19
"31","New Zealand","5226",2017-04-19
"32","Maldives","571",2017-04-19
"33","South Africa","11522",2017-04-19
"34","Guadeloupe","641",2017-04-19
"35","Dominican Republic (Dominican Rep) hotels","1669",2017-04-19
"36","Greece","26552",2017-04-19
"37","Bahrain","165",2017-04-19
"38","France","73295",2017-04-19
"39","Saint Lucia","174",2017-04-19
"40","Panama","950",2017-04-19
"41","Greenland","25",2017-04-19
"42","Belize","472",2017-04-19
"43","Turkey","15099",2017-04-19
"44","Samoa","68",2017-04-19
"45","Belgium","7306",2017-04-19
"46","Thailand","19022",2017-04-19
"47","Malaysia","6453",2017-04-19
"48","Vietnam","7842",2017-04-19
"49","Ghana","795",2017-04-19
"50","Austria","24430",2017-04-19
"51","Luxembourg","327",2017-04-19
"52","South Korea","4788",2017-04-19
"53","Colombia","7678",2017-04-19
"54","Trinidad and Tobago (Trinidad Tbgo) hotels","146",2017-04-19
"55","Seychelles","461",2017-04-19
"56","Solomon Islands (Solomon Is) hotels","22",2017-04-19
"57","Oman","320",2017-04-19
"58","Australia","16779",2017-04-19
"59","St. Maarten","194",2017-04-19
"60","Mauritius","1071",2017-04-19
"61","Macau","67",2017-04-19
"62","Iraq","94",2017-04-19
"63","Liechtenstein","37",2017-04-19
"64","Japan","12279",2017-04-19
"65","Denmark","23383",2017-04-19
"66","Argentina","11517",2017-04-19
"67","Tanzania","1444",2017-04-19
"68","Qatar","127",2017-04-19
"69","Nigeria","883",2017-04-19
"70","Monaco","30",2017-04-19
"71","Kuwait","129",2017-04-19
"72","Croatia","69575",2017-04-19
"73","Spain","66614",2017-04-19
"74","Anguilla","79",2017-04-19
"75","Curaçao","385",2017-04-19
"76","Portugal","20564",2017-04-19
"77","Norway","4354",2017-04-19
"78","Sri Lanka","8544",2017-04-19
