"","Product_Name","Price","Brand","Date"
"1","PNY Video Graphic Cards VCQM2000-PB","399.99","Nvidia Quadro",2017-04-07
"2","PNY NVIDIA Quadro M6000 12GB GDDR5 PCIe 3.0 GPU (VCQM6000-PB)","3399.99","Nvidia Quadro",2017-04-07
"3","PNY Video Card Graphics Cards VCQK620-PB","148.97","Nvidia Quadro",2017-04-07
"4","PNY NVIDIA VCQ410-PB Quadro 410 512MB Low Profile PCIe GPU Video Card","148.13","Nvidia Quadro",2017-04-07
"5","NVIDIA NVS 310 by PNY 512MB DDR3 PCI Express Gen 2 x16 DisplayPort 1.2 Multi-Display Professional Graphics Board, VCNVS310DP-PB","34.00","Nvidia Quadro",2017-04-07
"6","NVIDIA Graphics Card 4X60G69026","899.99","Nvidia Quadro",2017-04-07
"7","Genuine NVIDIA Quadro 600 PCI-E VIDEO CARD Desktop 1GB NVA-P1033-000","65.99","Nvidia Quadro",2017-04-07
"8","PNY NVIDIA Quadro NVS 510 2GB GDDR3 4-Mini DisplayPort Low Profile PCI-Express Video Card VCNVS510DVI-PB","361.42","Nvidia Quadro",2017-04-07
"9","PNY NVIDIA Quadro 5000 VCQ5000-PB, 2.50 GB GDDR5 PCI Express Gen 2 x16 DVI-I DL Dual DisplayPort and Stereo OpenGL, DirectX, CUDA, and OpenCL Profesional Graphics Board","1636.87","Nvidia Quadro",2017-04-07
"10","NVIDIA Graphics Card J3G90AT","899.99","Nvidia Quadro",2017-04-07
"11","NVIDIA NVS 310 by PNY 512MB DDR3 PCI Express Gen 2 x16 DisplayPort 1.2 and DVI-D SL Mllti-Display Professional Graphics Board, VCNVS310DVI-PB","91.03","Nvidia Quadro",2017-04-07
"12","HP 701980-001 NVIDIA Quadro K5000 4GB GDDR5 PCI-e graphics card - With 1 Dual Link DVI-D, 1 Dual Link DVI-I, and 2 DisplayPort 1.2 ports","725.00","Nvidia Quadro",2017-04-07
"13","PNY NVIDIA Quadro K2200 Graphics Cards VCQK2200-PB","409.99","Nvidia Quadro",2017-04-07
"14","NVIDIA Quadro K5000 4GB GDDR5 Graphics card (PNY Part #: VCQK5000-PB)","2499.00","Nvidia Quadro",2017-04-07
"15","NVIDIA Quadro FX 580 by PNY 512MB GDDR3 PCI Express Gen 2 x16 DVI-I DL and Dual DisplayPort OpenGL, DirectX, CUDA and OpenCL Profesional Graphics Board, VCQFX580-PCIE-PB",NA,"Nvidia Quadro",2017-04-07
"16","PNY Video Graphics Cards VCQM4000-PB","789.15","Nvidia Quadro",2017-04-07
"17","PNY PCI-Express Video Card VCNVS310DP-1GB-PB","90.61","Nvidia Quadro",2017-04-07
"18","PNY PCI-Express Video Card Graphics Cards VCQK420-2GB-PB","112.74","Nvidia Quadro",2017-04-07
"19","PNY NVIDIA Quadro NVS 315 1GB DDR3 DMS-59 Low Profile PCI-Express Video Card (VCNVS315DVI-PB)","68.97","Nvidia Quadro",2017-04-07
"20","PNY NVIDIA Quadro K1200 - ( VCQK1200DP-PB)","289.29","Nvidia Quadro",2017-04-07
"21","PNY VCQFX5500-PCIE-PB Quadro FX 5500 Professional Graphic Card","2369.65","Nvidia Quadro",2017-04-07
"22","HP 713380-001 NVIDIA Quadro K2000 2GB GDDR5 PCI-e graphics card","159.20","Nvidia Quadro",2017-04-07
"23","PNY Video Card VCQM6000-24GB-PB Quadro M6000 24GB GDDR5 PCIE3.0 DPx4/DVI-I DL","4529.00","Nvidia Quadro",2017-04-07
"24","HP NVIDIA Graphics Card Low Profile J3G87AT","162.50","Nvidia Quadro",2017-04-07
"25","SMART BUY KD506UT Nvidia Quadro Fx3700 512 MB Card Graphics Card","85.00","Nvidia Quadro",2017-04-07
"26","NVIDIA Graphics Card C2J93AT","443.14","Nvidia Quadro",2017-04-07
"27","Nvidia Quadro K5200 8GB 256-bit PCIe x16 Computer Video Card GPU Dell R93GX",NA,"Nvidia Quadro",2017-04-07
"28","PNY PCI-Express Video Card VCNVS310DVI-1GB-PB","103.75","Nvidia Quadro",2017-04-07
"29","HP Quadro K5000 Graphic Card - 4 GB GDDR5 SDRAM - PCI Express 2.0 x16 - Full-height","741.00","Nvidia Quadro",2017-04-07
"30","IBM 33L3543 Nvidia Quadro4 200 NVS 64MB SDRAM AGP 4x Graphics Card","49.95","Nvidia Quadro",2017-04-07
"31","HP J3G88AT Commercial Specialty Quadro K2200 4GB Graphics Cards","487.93","Nvidia Quadro",2017-04-07
"32","BOSCH SECURITY VIDEO MHW-AWGC-Q4000 Quadro 4000 Graphic Card, 2 Gb","1744.74","Nvidia Quadro",2017-04-07
"33","Nvidia P162 Video Card Quadro Fx500 128Mb","40.00","Nvidia Quadro",2017-04-07
"34","PNY NVIDIA Quadro K1200 - (VCQK1200DVI-PB)","316.57","Nvidia Quadro",2017-04-07
"35","Nvs 300 Pcie 512MB X16 Graphics Card","152.80","Nvidia Quadro",2017-04-07
"36","HP Quadro FX1400 128MB PCIe 376006-002 Card 395817-001","187.84","Nvidia Quadro",2017-04-07
"37","PNY Video Card Graphics Cards VCQK420-PB","101.49","Nvidia Quadro",2017-04-07
"38","NVIDIA QUADRO FX5800 PNY NVIDIA Quadro 5800 VCQFX5800-PCIE Graphics Card DVI PCI Expr","299.98","Nvidia Quadro",2017-04-07
"39","NVIDIA Graphics Card E5Z76AT","719.53","Nvidia Quadro",2017-04-07
"40","HP NVIDIA NVS 510 2GB GFX Card (C2J98AT)","186.00","Nvidia Quadro",2017-04-07
"41","HP Quadro NVS 310 Graphic Card - 512 MB A7U59AA","47.00","Nvidia Quadro",2017-04-07
"42","Power Mac G5 Nvidia 512mb Quadro Fx 4500 (Pci Express) Video Card","119.49","Nvidia Quadro",2017-04-07
"43","Nvidia Quadro FX3450","135.75","Nvidia Quadro",2017-04-07
"44","PNY Quadro FX3700 512 MB GDDR3 PCI-E Video Card VCQFX3700-PCIE-PB","105.20","Nvidia Quadro",2017-04-07
"45","PNY Video Card Graphics Cards VCQK4200-PB","1249.00","Nvidia Quadro",2017-04-07
"46","NVIDIA QUADRO FX5600 PCI-E 1.5GB Graphics Card","228.95","Nvidia Quadro",2017-04-07
"47","NVIDIA Quadro 2000D by PNY 1GB GDDR5 PCI Express Gen 2 x16 Dual DVI-I DL OpenGL, DirectX, CUDA, and OpenCL Profesional Graphics Board, VCQ2000D-PB","397.69","Nvidia Quadro",2017-04-07
