"","Product_Name","Price","Brand","Date"
"1","PNY Video Graphic Cards VCQM2000-PB","396.09","Nvidia Quadro",2017-04-14
"2","PNY NVIDIA Quadro M6000 12GB GDDR5 PCIe 3.0 GPU (VCQM6000-PB)","3399.99","Nvidia Quadro",2017-04-14
"3","PNY Video Card Graphics Cards VCQK620-PB","147.49","Nvidia Quadro",2017-04-14
"4","NVIDIA NVS 310 by PNY 512MB DDR3 PCI Express Gen 2 x16 DisplayPort 1.2 Multi-Display Professional Graphics Board, VCNVS310DP-PB","81.99","Nvidia Quadro",2017-04-14
"5","PNY NVIDIA Quadro K1200 - ( VCQK1200DP-PB)",NA,"Nvidia Quadro",2017-04-14
"6","NVIDIA NVS 310 by PNY 512MB DDR3 PCI Express Gen 2 x16 DisplayPort 1.2 and DVI-D SL Mllti-Display Professional Graphics Board, VCNVS310DVI-PB","91.03","Nvidia Quadro",2017-04-14
"7","NVIDIA Graphics Card J3G90AT","899.99","Nvidia Quadro",2017-04-14
"8","PNY NVIDIA Quadro NVS 510 2GB GDDR3 4-Mini DisplayPort Low Profile PCI-Express Video Card VCNVS510DVI-PB","361.16","Nvidia Quadro",2017-04-14
"9","PNY NVIDIA VCQ410-PB Quadro 410 512MB Low Profile PCIe GPU Video Card","169.00","Nvidia Quadro",2017-04-14
"10","Nvidia Quadro K5200 8GB 256-bit PCIe x16 Computer Video Card GPU Dell R93GX",NA,"Nvidia Quadro",2017-04-14
"11","NVIDIA Graphics Card 4X60G69026","899.99","Nvidia Quadro",2017-04-14
"12","NVIDIA Quadro K2000D 2GB GDDR5 Graphics card (PNY Part #: VCQK2000D-PB)","429.49","Nvidia Quadro",2017-04-14
"13","PNY NVIDIA Quadro K2200 Graphics Cards VCQK2200-PB","401.99","Nvidia Quadro",2017-04-14
"14","PNY Video Graphics Cards VCQM4000-PB","773.38","Nvidia Quadro",2017-04-14
"15","NVIDIA Quadro FX 580 by PNY 512MB GDDR3 PCI Express Gen 2 x16 DVI-I DL and Dual DisplayPort OpenGL, DirectX, CUDA and OpenCL Profesional Graphics Board, VCQFX580-PCIE-PB",NA,"Nvidia Quadro",2017-04-14
"16","PNY NVIDIA Quadro NVS 315 1GB DDR3 DMS-59 Low Profile PCI-Express Video Card (VCNVS315DVI-PB)","85.67","Nvidia Quadro",2017-04-14
"17","PNY PCI-Express Video Card Graphics Cards VCQK420-2GB-PB","112.74","Nvidia Quadro",2017-04-14
"18","PNY PCI-Express Video Card VCNVS310DP-1GB-PB","90.51","Nvidia Quadro",2017-04-14
"19","HP 713380-001 NVIDIA Quadro K2000 2GB GDDR5 PCI-e graphics card","152.00","Nvidia Quadro",2017-04-14
"20","Genuine NVIDIA Quadro 600 PCI-E VIDEO CARD Desktop 1GB NVA-P1033-000","65.99","Nvidia Quadro",2017-04-14
"21","HP NVIDIA Graphics Card Low Profile J3G87AT","162.50","Nvidia Quadro",2017-04-14
"22","SMART BUY KD506UT Nvidia Quadro Fx3700 512 MB Card Graphics Card","85.00","Nvidia Quadro",2017-04-14
"23","PNY PCI-Express Video Card VCNVS310DVI-1GB-PB","103.75","Nvidia Quadro",2017-04-14
"24","HP Quadro K5000 Graphic Card - 4 GB GDDR5 SDRAM - PCI Express 2.0 x16 - Full-height","699.55","Nvidia Quadro",2017-04-14
"25","HP J3G88AT Commercial Specialty Quadro K2200 4GB Graphics Cards","482.83","Nvidia Quadro",2017-04-14
"26","PNY NVIDIA Quadro K1200 - (VCQK1200DVI-PB)","316.57","Nvidia Quadro",2017-04-14
"27","NVIDIA Graphics Card C2J93AT","443.17","Nvidia Quadro",2017-04-14
"28","HP 701980-001 NVIDIA Quadro K5000 4GB GDDR5 PCI-e graphics card - With 1 Dual Link DVI-D, 1 Dual Link DVI-I, and 2 DisplayPort 1.2 ports","695.99","Nvidia Quadro",2017-04-14
"29","HP Quadro NVS 310 Graphic Card - 512 MB A7U59AA","47.00","Nvidia Quadro",2017-04-14
"30","Nvs 300 Pcie 512MB X16 Graphics Card","151.16","Nvidia Quadro",2017-04-14
"31","Nvidia P162 Video Card Quadro Fx500 128Mb","40.00","Nvidia Quadro",2017-04-14
"32","BOSCH SECURITY VIDEO MHW-AWGC-Q4000 Quadro 4000 Graphic Card, 2 Gb","1744.74","Nvidia Quadro",2017-04-14
"33","Power Mac G5 Nvidia 512mb Quadro Fx 4500 (Pci Express) Video Card","119.49","Nvidia Quadro",2017-04-14
"34","HP Quadro FX1400 128MB PCIe 376006-002 Card 395817-001","187.84","Nvidia Quadro",2017-04-14
"35","PNY NVIDIA Quadro 5000 VCQ5000-PB, 2.50 GB GDDR5 PCI Express Gen 2 x16 DVI-I DL Dual DisplayPort and Stereo OpenGL, DirectX, CUDA, and OpenCL Profesional Graphics Board","1635.64","Nvidia Quadro",2017-04-14
"36","NVIDIA Low Profile Graphics Cards E1U66AT","114.99","Nvidia Quadro",2017-04-14
"37","NVIDIA QUADRO FX5800 PNY NVIDIA Quadro 5800 VCQFX5800-PCIE Graphics Card DVI PCI Expr","299.98","Nvidia Quadro",2017-04-14
"38","NVIDIA Graphics Card E5Z76AT","719.53","Nvidia Quadro",2017-04-14
"39","HP NVIDIA NVS 510 2GB GFX Card (C2J98AT)","174.99","Nvidia Quadro",2017-04-14
"40","PNY Video Card Graphics Cards VCQK420-PB","101.49","Nvidia Quadro",2017-04-14
"41","Nvidia Quadro FX3450","135.75","Nvidia Quadro",2017-04-14
"42","PNY Quadro FX3700 512 MB GDDR3 PCI-E Video Card VCQFX3700-PCIE-PB","105.20","Nvidia Quadro",2017-04-14
"43","NVIDIA Quadro 2000D by PNY 1GB GDDR5 PCI Express Gen 2 x16 Dual DVI-I DL OpenGL, DirectX, CUDA, and OpenCL Profesional Graphics Board, VCQ2000D-PB","259.55","Nvidia Quadro",2017-04-14
"44","PNY Video Card Graphics Cards VCQK4200-PB","1249.00","Nvidia Quadro",2017-04-14
"45","NVIDIA QUADRO FX5600 PCI-E 1.5GB Graphics Card","228.95","Nvidia Quadro",2017-04-14
"46","PNY NVIDIA Quadro K5200 8GB GDDR5 PCIe3.0 GPU Graphics Card (VCQK5200-PB)","1800.26","Nvidia Quadro",2017-04-14
"47","NVIDIA Quadro 400 by PNY 512MB DDR3 PCI Express Gen 2 x16 DVI-I DL and DisplayPort OpenGL, DirectX, and CUDA Profesional Graphics Board, VCQ400-PB","118.35","Nvidia Quadro",2017-04-14
"48","PNY Quadro FX5600 1.5 GB GDDR3 PCI-E Video Card VCQFX5600-PCIE-PB","1172.08","Nvidia Quadro",2017-04-14
"49","HP Quadro NVS 315 Graphic Card - 1 GB DDR3 SDRAM - PCI Express x16 - Low-profile","97.04","Nvidia Quadro",2017-04-14
"50","NVIDIA Quadro K5000 4GB GDDR5 PCI-E 2.0 x16 Video Card With Dispalyport and DVI Outputs","695.00","Nvidia Quadro",2017-04-14
"51","Dell XPS M1710 Precision M90 Nvidia Quadro FX 2500M 512MB Video Graphics Card",NA,"Nvidia Quadro",2017-04-14
"52","Quadro 2000 PCIe x16 1GB GDDR5","78.00","Nvidia Quadro",2017-04-14
"53","Nvidia Quadro FX3700 Pcie 512MB Pcie Graphics","95.00","Nvidia Quadro",2017-04-14
"54","Dell RN034 New nVidia Quadro FX1700 FX 1700 512MB PCIE PCI-Express Dual DVI Video Card","129.75","Nvidia Quadro",2017-04-14
"55","Smart Buy Nvidia Quadro FX5800 4GB Card","299.98","Nvidia Quadro",2017-04-14
"56","Nvidia Quadro FX570 256MB Pcie Card","40.99","Nvidia Quadro",2017-04-14
"57","PNY VCQFX5500-PCIE-PB Quadro FX 5500 Professional Graphic Card","2478.10","Nvidia Quadro",2017-04-14
"58","NVIDIA Quadro K5000 4GB GDDR5 Graphics card (PNY Part #: VCQK5000-PB)","2499.00","Nvidia Quadro",2017-04-14
"59","Lenovo 55Y8963 NVIDIA SLI Connector","7.99","Nvidia Quadro",2017-04-14
"60","nVidia Quadro FX3700 512MB PCI-e HP 462790-001 462790001","79.99","Nvidia Quadro",2017-04-14
"61","EVGA GeForce GT 610 2048MB DDR3, DVI, VGA and HDMI Graphics Card (02G-P3-2619-KR)","44.99","Nvidia GeForce",2017-04-14
"62","EVGA GeForce GT 730 2GB GDDR5 64bit DVI/HDMI/VGA Low Profile Graphics Card 02G-P3-3733-KR","68.99","Nvidia GeForce",2017-04-14
"63","Gigabyte GT 420 2GB 128-Bit DDR3 PCI Express 2.0 x 16 ATX Video Graphics Cards GV-N420-2GI REV3","42.99","Nvidia GeForce",2017-04-14
"64","EVGA GeForce 8400 GS Passive 1024 MB DDR3 PCI Express 2.0 Graphics Card DVI/HDMI/VGA, 01G-P3-1303-KR","29.99","Nvidia GeForce",2017-04-14
"65","EVGA GeForce GTX 750Ti with G-SYNC Support 2GB GDDR5 128bit, Dual-Link, DVI-I, HDMI, DP Graphics Card (02G-P4-...","110.99","Nvidia GeForce",2017-04-14
"66","EVGA GeForce 210 Passive 1024 MB DDR3 PCI Express 2.0 DVI/HDMI/VGA Graphics Card, 01G-P3-1313-KR","29.49","Nvidia GeForce",2017-04-14
"67","Gigabyte Graphics Cards GV-N75TWF2OC-4GI","114.99","Nvidia GeForce",2017-04-14
"68","ASUS GeForce 210 1GB 64-bit DDR3 PCI Express 2.0 x16 Low Profile Ready Video Card, EN210 SILENT/DI/1GD3/V2(LP)","34.99","Nvidia GeForce",2017-04-14
"69","MSI Computer VGA Graphic Card GT 710 2GD3 LP","39.99","Nvidia GeForce",2017-04-14
"70","ASUS GT 710 2GB DDR3 64bit Dual Slot, Passive Low Profile Graphics Cards, Blue/Silver 710-2-SL-CSM","43.99","Nvidia GeForce",2017-04-14
"71","Gigabyte Gaming Graphics Cards GV-N730-2GI","59.90","Nvidia GeForce",2017-04-14
"72","ASUS GeForce GTX 1070 8GB ROG STRIX OC Edition Graphic Card STRIX-GTX1070-O8G-GAMING","419.99","Nvidia GeForce",2017-04-14
"73","EVGA GT 710 2GB DDR3 64bit Single Slot, Dual DVI 02G-P3-2717-KR","46.99","Nvidia GeForce",2017-04-14
"74","ZOTAC GeForce GT 710 2GB DDR3 PCI-E2.0 DL-DVI VGA HDMI Passive Cooled Single Slot Low Profile Graphics Card (ZT...","42.98","Nvidia GeForce",2017-04-14
"75","Inno3D Nvidia-Geforce GT 730 4GB DDR3 HDMI DVI VGA video-card PCI-express x16 graphics HD 1080P windows 8/7/vista/XP","88.75","Nvidia GeForce",2017-04-14
"76","MSI Computer Corp. NVIDIA GeForce GTX 750 Ti Gaming OC 2GB GDDR5 VGA/DVI/HDMI PCI-Express Video Card N750TI TF...","139.95","Nvidia GeForce",2017-04-14
"77","Gigabyte GeForce GTX 1070 G1 Gaming Video/Graphics Cards GV-N1070G1 GAMING-8GD","399.95","Nvidia GeForce",2017-04-14
"78","MSI GeForce GT 730 Fermi DDR3 4GB DirectX 12 (N730-4GD3V2)","80.99","Nvidia GeForce",2017-04-14
"79","EVGA GeForce GTX 1070 SC GAMING ACX 3.0, 8GB GDDR5, LED, DX12 OSD Support (PXOC) Graphics Card 08G-P4-6173-KR","407.99","Nvidia GeForce",2017-04-14
"80","MSI Gaming GeForce GTX 1070 8GB GDDR5 SLI DirectX 12 VR Ready Graphics Card (GTX 1070 GAMING X 8G)","409.30","Nvidia GeForce",2017-04-14
"81","EVGA GeForce GTX 1080 Founders Edition, 8GB GDDR5X, LED, DX12 OSD Support (PXOC) Graphics Card 08G-P4-6180-KR","549.88","Nvidia GeForce",2017-04-14
"82","ASUS GeForce GTX 1080 8GB ROG STRIX Graphics Card (STRIX-GTX1080-8G-GAMING)","544.99","Nvidia GeForce",2017-04-14
"83","PNY GeForce 8400 GS 512MB Graphics Cards VCG84512D3SXPB","39.99","Nvidia GeForce",2017-04-14
"84","ASUS NVIDIA GeForce GTX 750 Ti GDDR5 2GB PCI Express 3.0 128-bit Graphics Card (GTX750TI-OC-2GD5)",NA,"Nvidia GeForce",2017-04-14
"85","EVGA GeForce GTX 950 2GB SC+ GAMING, Silent Cooling Graphics Card 02G-P4-2956-KR",NA,"Nvidia GeForce",2017-04-14
"86","EVGA GeForce GTX 970 4GB SSC Gaming ACX 2.0+ Cooling Graphics Card (04G-P4-3975-KR)",NA,"Nvidia GeForce",2017-04-14
"87","EVGA GeForce GTX 960 4GB SSC GAMING ACX 2.0+, Whisper Silent Cooling w/ Free Installed Backplate Graphics Card...",NA,"Nvidia GeForce",2017-04-14
"88","ZOTAC GeForce GT 730 Zone Edition 4GB DDR3 PCI Express 2.0 x16 (x8 lanes) Graphics Card (ZT-71115-20L)","72.69","Nvidia GeForce",2017-04-14
"89","MSI GAMING GTX 960 4GB OC Twin Frozr-V HDCP Ready SLI Support (GTX 960 GAMING 4G)","249.99","Nvidia GeForce",2017-04-14
"90","Gigabyte 210 DDR3-1GB DVI/D-SUB/HDMI LP Graphics Cards GV-N210D3-1GI REV6.0","29.99","Nvidia GeForce",2017-04-14
"91","ZOTAC GeForce GTX 750Ti 2GB GDDR5 PCI Express 3.0 DVI HDMI DisplayPort Video Graphics Card (ZT-70605-10M)","169.99","Nvidia GeForce",2017-04-14
"92","MSI GAMING GeForce GTX 970 4GB OC DirectX 12 VR READY (GTX 970 GAMING 4G)","399.99","Nvidia GeForce",2017-04-14
"93","EVGA GeForce GTX TITAN X 12GB HC GAMING, Exclusive EVGA Water Block Design w/ Free Installed Backplate Graphics...","1999.99","Nvidia GeForce",2017-04-14
"94","PNY GeForce GT 730 2GB DDR3 Graphics Card (VCGGT7302D3LXPB)","69.99","Nvidia GeForce",2017-04-14
"95","MSI GeForce GT 730 Kepler GDDR5 2GB OC Low Profile Ready DirectX 12 (N730K-2GD5LP/OC)","69.99","Nvidia GeForce",2017-04-14
"96","PNY Video Card VCGGT710XPB","29.79","Nvidia GeForce",2017-04-14
"97","PNY GeForce 8400GS","45.99","Nvidia GeForce",2017-04-14
"98","ZOTAC GeForce GTX 1070 AMP! Edition, ZT-P10700C-10P, 8GB GDDR5 IceStorm Cooling VR Ready Gaming Graphics Card","409.99","Nvidia GeForce",2017-04-14
"99","MSI Gaming GeForce GTX 1080 8GB GDDR5X SLI DirectX 12 VR Ready Graphics Card (GTX 1080 SEA HAWK X)","625.37","Nvidia GeForce",2017-04-14
"100","PNY Video Card Graphic Cards VCGGTX10708PB-CG","414.99","Nvidia GeForce",2017-04-14
"101","Inno3D Nvidia Geforce GT 730 LP 4GB DDR3 HDMI DVI VGA 128 Bit Video Graphics Card, PCI Express x16 HD 1080P Low...","94.75","Nvidia GeForce",2017-04-14
"102","ASUS Graphics Cards GT730-2GD3-CSM","62.99","Nvidia GeForce",2017-04-14
"103","EVGA GeForce 6200 512 MB DDR2 AGP 8X VGA/DVI-I/S-Video Graphics Card, 512-A8-N403-LR","39.99","Nvidia GeForce",2017-04-14
"104","Club3D GeForce 210 Passive 1024 MB DDR3 PCI Express 2.0 DVI/HDMI/VGA Graphics Card, CGNX-212L, Black","36.15","Nvidia GeForce",2017-04-14
"105","MSI N210-MD1G/D3 GeForce 210 Graphic Card - 589 MHz Core - 1 GB GDDR3 SDRAM - PCI Express 2.0 x16 -","52.88","Nvidia GeForce",2017-04-14
"106","MSI nVidia GeForce 8400GS 512 MB DDR3 VGA/DVI/HDMI Low Profile PCI-Express Video Card N8400GS-MD512H","37.80","Nvidia GeForce",2017-04-14
"107","PNY GeForce 8400GS 512MB DDR2 PCI-Express 2.0 DVI+VGA+HDMI Low Profile Graphics Card VCG84512R3SXPB","37.95","Nvidia GeForce",2017-04-14
"108","Zotac PCI-Express Video / Graphics Cards ZT-90505-10P","749.99","Nvidia GeForce",2017-04-14
"109","EVGA Video Graphics Cards 04G-P4-3973-KR",NA,"Nvidia GeForce",2017-04-14
"110","XFX PVT44AWANG GeForce 6200 256MB GDDR2 AGP 4X/8X Video Card (VGA/DVI/S-Video)","48.12","Nvidia GeForce",2017-04-14
"111","EVGA GeForce GTX670 4096MB GDDR5 256bit, 2x Dual-Link DVI, HDMI, DP, 4-Way SLI Ready Graphics Card (04G-P4-2671...","489.99","Nvidia GeForce",2017-04-14
"112","GIGABYTE GeForce 210 Silent 1GB DDR3 DVI-I / D-Sub / HDMI Low Profile Graphics Card, GV-N210SL-1GI","29.99","Nvidia GeForce",2017-04-14
"113","EVGA GeForce GTX 980 Ti 6GB CLASSIFIED GAMING ACX 2.0+, Cooling Graphics Cards 06G-P4-0998-KR","559.98","Nvidia GeForce",2017-04-14
"114","ZOTAC GeForce 8400 GS 512 MB 64-Bit DDR2 PCI Express 2.0 x16 HDCP Ready Low Profile Ready Video Card (ZT-84MEH4M-FSL)","38.00","Nvidia GeForce",2017-04-14
"115","EVGA GeForce GTX680 2GB GDDR5 DisplayPort DVI-I, DVI-D HDMI Graphics Card  for Mac 02G-P4-3682-KR","779.99","Nvidia GeForce",2017-04-14
"116","ZOTAC GeForce GT430 1GB DDR3 PCI Express 2.0 DVI/HDMI/Displayport Fanless Graphics Card, ZT-40601-20L","21.69","Nvidia GeForce",2017-04-14
"117","NVIDIA GEFORCE GTX 1080 Founders Edition","629.99","Nvidia GeForce",2017-04-14
"118","EVGA GeForce GTX760 Dual Superclocked ACX Cooler 2GB 256-Bit GDDR5 Double BIOS Dual-Link DVI-I/DVI-D HDMI SLI...",NA,"Nvidia GeForce",2017-04-14
"119","Sparkle PC 700012 GeForce FX5500 256MB 128-Bit Graphics Card SA5500256D1DTPI","44.99","Nvidia GeForce",2017-04-14
"120","MSI NVIDIA GeForce GTX 760 Gaming OC 4GB GDDR5 2DVI/HDMI/DisplayPort PCI-Express Video Card N760 TF 4GD5/OC","316.99","Nvidia GeForce",2017-04-14
"121","ASUS AMD Radeon R7 250 2 GB 128-Bit DDR5 Graphics Cards (R7250-2GD5)","78.08","AMD Radeon",2017-04-14
"122","MSI ATI Radeon HD6450 1 GB DDR3 VGA/DVI/HDMI Low Profile PCI-Express Video Card R6450-MD1GD3/LP","36.96","AMD Radeon",2017-04-14
"123","XFX PCI-Express Video Card R7-360P-2DF5","89.99","AMD Radeon",2017-04-14
"124","VisionTek Radeon 4350 512MB DDR2 (DVI-I, HDMI, VGA) Graphics Card - 900270","29.99","AMD Radeon",2017-04-14
"125","Gigabyte AMD Radeon R7 240 DDR3-2GB DVI-D/HDMI/D-SUB OC Video Graphics Cards GV-R724OC-2GI REV2.0","59.99","AMD Radeon",2017-04-14
"126","VisionTek Products Radeon 7750 SFF 2GB GDDR5 4M Graphics Card 900798","186.47","AMD Radeon",2017-04-14
"127","VisionTek Radeon 7870 2GB GDDR5 6M (6x MiniDP) Graphics Card - 900548","359.99","AMD Radeon",2017-04-14
"128","MSI Computer Video Graphics Cards R7 240 2GD5","55.99","AMD Radeon",2017-04-14
"129","Sapphire Radeon R9 290 4GB GDDR5 DUAL DVI-D/HDMI/DP PCI-Express Graphics Card (21227-00-40G)","379.99","AMD Radeon",2017-04-14
"130","XFX PCI-Express Video Card R7-360P-2SF5","103.99","AMD Radeon",2017-04-14
"131","VisionTek Radeon 5570 SFF 1GB DDR3 4M  VHDCI DVI (4x DVI-D) Graphics Card - 900345","159.99","AMD Radeon",2017-04-14
"132","VisionTek ATi Radeon 7000 64 MB DDR2 PCI Graphics Card 900029","39.99","AMD Radeon",2017-04-14
"133","VisionTek Radeon 7750 2GB GDDR5 6M (6x MiniDP) - 900614","216.56","AMD Radeon",2017-04-14
"134","Sapphire Radeon HD 6450 1 GB DDR3 HDMI/DVI-D/VGA PCI-Express Graphics Card 100322L","39.99","AMD Radeon",2017-04-14
"135","AMD Radeon HD 6350 HD6350 LP Video Graphics Card 512MB PCIe X16 Dell 236X5","19.99","AMD Radeon",2017-04-14
"136","ASUS 2GB Graphics Cards R7240-2GD3-L","61.51","AMD Radeon",2017-04-14
"137","XFX AMD Radeon HD 5450 2GB DDR3 VGA/DVI/HDMI PCI-Express Video Card ON-XFX1-DLX2","39.04","AMD Radeon",2017-04-14
"138","Asus ATI Radeon HD6450 Silence 1 GB DDR3 VGA/DVI/HDMI Low Profile PCI-Express Video Card (EAH6450 SILENT/DI/1GD3...","40.44","AMD Radeon",2017-04-14
"139","ASUS EAH5450 SL/DI/512MD3/MG(LP) Silent Series Radeon HD 5450 OdB Cooling Graphics Card","35.28","AMD Radeon",2017-04-14
"140","VisionTek Radeon 7750 SFF 1GB GDDR5 (DVI-I, HDMI) Graphics Card - 900549","136.99","AMD Radeon",2017-04-14
"141","Sapphire Radeon R9 280 3GB GDDR5 DVI-I/DVI-D/HDMI/DP Dual-X with PCI-Express Graphics Card Boost 11230-00-20G","259.99","AMD Radeon",2017-04-14
