"","Product_Name","Price","Brand","Date"
"48","PNY NVIDIA Quadro K5200 8GB GDDR5 PCIe3.0 GPU Graphics Card (VCQK5200-PB)","1800.26","Nvidia Quadro",2017-04-11
"49","NVIDIA Quadro 400 by PNY 512MB DDR3 PCI Express Gen 2 x16 DVI-I DL and DisplayPort OpenGL, DirectX, and CUDA Profesional Graphics Board, VCQ400-PB","118.35","Nvidia Quadro",2017-04-11
"50","PNY Quadro FX5600 1.5 GB GDDR3 PCI-E Video Card VCQFX5600-PCIE-PB","1795.13","Nvidia Quadro",2017-04-11
"51","HP Quadro NVS 315 Graphic Card - 1 GB DDR3 SDRAM - PCI Express x16 - Low-profile","97.04","Nvidia Quadro",2017-04-11
"52","NVIDIA Quadro K5000 4GB GDDR5 PCI-E 2.0 x16 Video Card With Dispalyport and DVI Outputs","711.00","Nvidia Quadro",2017-04-11
"53","Dell XPS M1710 Precision M90 Nvidia Quadro FX 2500M 512MB Video Graphics Card",NA,"Nvidia Quadro",2017-04-11
"54","NVIDIA Quadro K5000 4GB GDDR5 Graphics card (PNY Part #: VCQK5000-PB)","2499.00","Nvidia Quadro",2017-04-11
"55","Nvidia Quadro FX3700 Pcie 512MB Pcie Graphics","95.00","Nvidia Quadro",2017-04-11
"56","Smart Buy Nvidia Quadro FX5800 4GB Card","299.98","Nvidia Quadro",2017-04-11
"57","Quadro 2000 PCIe x16 1GB GDDR5","78.00","Nvidia Quadro",2017-04-11
"58","Nvidia Quadro FX570 256MB Pcie Card","40.99","Nvidia Quadro",2017-04-11
"59","Dell RN034 New nVidia Quadro FX1700 FX 1700 512MB PCIE PCI-Express Dual DVI Video Card","69.99","Nvidia Quadro",2017-04-11
"60","nVidia Quadro FX3700 512MB PCI-e HP 462790-001 462790001","79.99","Nvidia Quadro",2017-04-11
"61","EVGA GeForce 8400 GS 1024MB DDR3 PCI-E 2.0 Graphics Card DVI/HDMI/VGA 01G-P3-1302-LR","32.23","Nvidia GeForce",2017-04-11
"62","EVGA GeForce GT 730 4GB DDR3 128bit Dual DVI mHDMI Graphics Cards 04G-P3-2739-KR",NA,"Nvidia GeForce",2017-04-11
"63","EVGA GeForce GT 610 2048MB DDR3, DVI, VGA and HDMI Graphics Card (02G-P3-2619-KR)","44.99","Nvidia GeForce",2017-04-11
"64","Gigabyte GT 420 2GB 128-Bit DDR3 PCI Express 2.0 x 16 ATX Video Graphics Cards GV-N420-2GI REV3","42.99","Nvidia GeForce",2017-04-11
"65","EVGA GeForce GTX 750Ti with G-SYNC Support 2GB GDDR5 128bit, Dual-Link, DVI-I, HDMI, DP Graphics Card (02G-P4-3751-KR)","110.99","Nvidia GeForce",2017-04-11
"66","EVGA GeForce 210 Passive 1024 MB DDR3 PCI Express 2.0 DVI/HDMI/VGA Graphics Card, 01G-P3-1313-KR","29.49","Nvidia GeForce",2017-04-11
"67","Gigabyte Graphics Cards GV-N75TWF2OC-4GI","114.99","Nvidia GeForce",2017-04-11
"68","ASUS GeForce 210 1GB 64-bit DDR3 PCI Express 2.0 x16 Low Profile Ready Video Card, EN210 SILENT/DI/1GD3/V2(LP)","34.99","Nvidia GeForce",2017-04-11
"69","MSI Computer VGA Graphic Card GT 710 2GD3 LP","39.99","Nvidia GeForce",2017-04-11
"70","ASUS GT 710 2GB DDR3 64bit Dual Slot, Passive Low Profile Graphics Cards, Blue/Silver 710-2-SL-CSM","39.99","Nvidia GeForce",2017-04-11
"71","ASUS GeForce GTX 1070 8GB ROG STRIX OC Edition Graphic Card STRIX-GTX1070-O8G-GAMING","424.83","Nvidia GeForce",2017-04-11
"72","EVGA GT 710 2GB DDR3 64bit Single Slot, Dual DVI 02G-P3-2717-KR","46.99","Nvidia GeForce",2017-04-11
"73","PNY GeForce 8400 GS 512MB Graphics Cards VCG84512D3SXPB","39.99","Nvidia GeForce",2017-04-11
"74","ZOTAC GeForce GT 710 2GB DDR3 PCI-E2.0 DL-DVI VGA HDMI Passive Cooled Single Slot Low Profile Graphics Card (ZT-71302-20L)","42.99","Nvidia GeForce",2017-04-11
"75","Gigabyte Gaming Graphics Cards GV-N730-2GI","59.90","Nvidia GeForce",2017-04-11
"76","Inno3D Nvidia-Geforce GT 730 4GB DDR3 HDMI DVI VGA video-card PCI-express x16 graphics HD 1080P windows 8/7/vista/XP","88.75","Nvidia GeForce",2017-04-11
"77","EVGA GeForce GTX 1070 SC GAMING ACX 3.0, 8GB GDDR5, LED, DX12 OSD Support (PXOC) Graphics Card 08G-P4-6173-KR","407.99","Nvidia GeForce",2017-04-11
"78","MSI Computer Corp. NVIDIA GeForce GTX 750 Ti Gaming OC 2GB GDDR5 VGA/DVI/HDMI PCI-Express Video Card N750TI TF 2GD5/OC","99.99","Nvidia GeForce",2017-04-11
"79","EVGA GeForce GTX 1080 Founders Edition, 8GB GDDR5X, LED, DX12 OSD Support (PXOC) Graphics Card 08G-P4-6180-KR","549.88","Nvidia GeForce",2017-04-11
"80","MSI Gaming GeForce GTX 1070 8GB GDDR5 SLI DirectX 12 VR Ready Graphics Card (GTX 1070 GAMING X 8G)","409.30","Nvidia GeForce",2017-04-11
"81","ASUS GeForce GTX 1080 8GB ROG STRIX Graphics Card (STRIX-GTX1080-8G-GAMING)","544.99","Nvidia GeForce",2017-04-11
"82","MSI GeForce GT 730 Fermi DDR3 4GB DirectX 12 (N730-4GD3V2)","80.99","Nvidia GeForce",2017-04-11
"83","ASUS NVIDIA GeForce GTX 750 Ti GDDR5 2GB PCI Express 3.0 128-bit Graphics Card (GTX750TI-OC-2GD5)",NA,"Nvidia GeForce",2017-04-11
"84","Gigabyte GeForce GTX 1070 G1 Gaming Video/Graphics Cards GV-N1070G1 GAMING-8GD","399.97","Nvidia GeForce",2017-04-11
"85","EVGA GeForce GTX 970 4GB SSC Gaming ACX 2.0+ Cooling Graphics Card (04G-P4-3975-KR)",NA,"Nvidia GeForce",2017-04-11
"86","MSI GAMING GTX 960 4GB OC Twin Frozr-V HDCP Ready SLI Support (GTX 960 GAMING 4G)","249.99","Nvidia GeForce",2017-04-11
"87","EVGA GeForce GTX 960 4GB SSC GAMING ACX 2.0+, Whisper Silent Cooling w/ Free Installed Backplate Graphics Card 04G-P4-3967-KR",NA,"Nvidia GeForce",2017-04-11
"88","MSI GAMING GeForce GTX 970 4GB OC DirectX 12 VR READY (GTX 970 GAMING 4G)","399.99","Nvidia GeForce",2017-04-11
"89","ZOTAC GeForce GT 730 Zone Edition 4GB DDR3 PCI Express 2.0 x16 (x8 lanes) Graphics Card (ZT-71115-20L)","82.94","Nvidia GeForce",2017-04-11
"90","MSI GeForce GT 730 Kepler GDDR5 2GB OC Low Profile Ready DirectX 12 (N730K-2GD5LP/OC)","69.99","Nvidia GeForce",2017-04-11
"91","EVGA GeForce GTX 950 2GB SSC GAMING, Silent Cooling Graphics Card 02G-P4-2957-KR",NA,"Nvidia GeForce",2017-04-11
"92","ZOTAC GeForce GTX 750Ti 2GB GDDR5 PCI Express 3.0 DVI HDMI DisplayPort Video Graphics Card (ZT-70605-10M)","169.99","Nvidia GeForce",2017-04-11
"93","EVGA GeForce GTX TITAN X 12GB HC GAMING, Exclusive EVGA Water Block Design w/ Free Installed Backplate Graphics Card 12G-P4-2999-KR","1999.99","Nvidia GeForce",2017-04-11
"94","Gigabyte 210 DDR3-1GB DVI/D-SUB/HDMI LP Graphics Cards GV-N210D3-1GI REV6.0","29.99","Nvidia GeForce",2017-04-11
"95","PNY GeForce GT 730 2GB DDR3 Graphics Card (VCGGT7302D3LXPB)","69.99","Nvidia GeForce",2017-04-11
"96","PNY Video Card VCGGT710XPB","29.79","Nvidia GeForce",2017-04-11
