"","Product_Name","Price","Brand","Date"
"1","PNY Video Graphic Cards VCQM2000-PB","391.24","Nvidia Quadro",2017-04-10
"2","PNY NVIDIA Quadro M6000 12GB GDDR5 PCIe 3.0 GPU (VCQM6000-PB)","3399.99","Nvidia Quadro",2017-04-10
"3","PNY Video Card Graphics Cards VCQK620-PB","147.49","Nvidia Quadro",2017-04-10
"4","Genuine NVIDIA Quadro 600 PCI-E VIDEO CARD Desktop 1GB NVA-P1033-000","67.99","Nvidia Quadro",2017-04-10
"5","NVIDIA NVS 310 by PNY 512MB DDR3 PCI Express Gen 2 x16 DisplayPort 1.2 Multi-Display Professional Graphics Board, VCNVS310DP-PB","81.99","Nvidia Quadro",2017-04-10
"6","NVIDIA NVS 310 by PNY 512MB DDR3 PCI Express Gen 2 x16 DisplayPort 1.2 and DVI-D SL Mllti-Display Professional Graphics Board, VCNVS310DVI-PB","91.03","Nvidia Quadro",2017-04-10
"7","PNY NVIDIA VCQ410-PB Quadro 410 512MB Low Profile PCIe GPU Video Card","148.13","Nvidia Quadro",2017-04-10
"8","PNY NVIDIA Quadro K1200 - ( VCQK1200DP-PB)","314.49","Nvidia Quadro",2017-04-10
"9","NVIDIA Graphics Card 4X60G69026","899.99","Nvidia Quadro",2017-04-10
"10","PNY NVIDIA Quadro 5000 VCQ5000-PB, 2.50 GB GDDR5 PCI Express Gen 2 x16 DVI-I DL Dual DisplayPort and Stereo OpenGL, DirectX, CUDA, and OpenCL Profesional Graphics Board","1636.87","Nvidia Quadro",2017-04-10
"11","NVIDIA Graphics Card J3G90AT","899.99","Nvidia Quadro",2017-04-10
"12","HP 701980-001 NVIDIA Quadro K5000 4GB GDDR5 PCI-e graphics card - With 1 Dual Link DVI-D, 1 Dual Link DVI-I, and 2 DisplayPort 1.2 ports","725.00","Nvidia Quadro",2017-04-10
"13","PNY NVIDIA Quadro NVS 510 2GB GDDR3 4-Mini DisplayPort Low Profile PCI-Express Video Card VCNVS510DVI-PB","300.99","Nvidia Quadro",2017-04-10
"14","PNY NVIDIA Quadro NVS 315 1GB DDR3 DMS-59 Low Profile PCI-Express Video Card (VCNVS315DVI-PB)","68.97","Nvidia Quadro",2017-04-10
"15","Nvidia Quadro K5200 8GB 256-bit PCIe x16 Computer Video Card GPU Dell R93GX",NA,"Nvidia Quadro",2017-04-10
"16","PNY NVIDIA Quadro K2200 Graphics Cards VCQK2200-PB","401.99","Nvidia Quadro",2017-04-10
"17","PNY Video Graphics Cards VCQM4000-PB","789.15","Nvidia Quadro",2017-04-10
"18","NVIDIA Quadro FX 580 by PNY 512MB GDDR3 PCI Express Gen 2 x16 DVI-I DL and Dual DisplayPort OpenGL, DirectX, CUDA and OpenCL Profesional Graphics Board, VCQFX580-PCIE-PB",NA,"Nvidia Quadro",2017-04-10
"19","PNY PCI-Express Video Card Graphics Cards VCQK420-2GB-PB","112.74","Nvidia Quadro",2017-04-10
"20","PNY PCI-Express Video Card VCNVS310DP-1GB-PB","90.58","Nvidia Quadro",2017-04-10
"21","HP 713380-001 NVIDIA Quadro K2000 2GB GDDR5 PCI-e graphics card","159.20","Nvidia Quadro",2017-04-10
"22","PNY VCQFX5500-PCIE-PB Quadro FX 5500 Professional Graphic Card","2463.66","Nvidia Quadro",2017-04-10
"23","HP NVIDIA Graphics Card Low Profile J3G87AT","162.50","Nvidia Quadro",2017-04-10
"24","PNY Video Card VCQM6000-24GB-PB Quadro M6000 24GB GDDR5 PCIE3.0 DPx4/DVI-I DL","4529.00","Nvidia Quadro",2017-04-10
"25","SMART BUY KD506UT Nvidia Quadro Fx3700 512 MB Card Graphics Card","85.00","Nvidia Quadro",2017-04-10
"26","NVIDIA Graphics Card C2J93AT","443.15","Nvidia Quadro",2017-04-10
"27","PNY PCI-Express Video Card VCNVS310DVI-1GB-PB","103.75","Nvidia Quadro",2017-04-10
"28","HP Quadro K5000 Graphic Card - 4 GB GDDR5 SDRAM - PCI Express 2.0 x16 - Full-height","741.00","Nvidia Quadro",2017-04-10
"29","HP J3G88AT Commercial Specialty Quadro K2200 4GB Graphics Cards","482.83","Nvidia Quadro",2017-04-10
"30","PNY NVIDIA Quadro K1200 - (VCQK1200DVI-PB)","316.57","Nvidia Quadro",2017-04-10
"31","HP Quadro NVS 310 Graphic Card - 512 MB A7U59AA","47.00","Nvidia Quadro",2017-04-10
"32","Nvs 300 Pcie 512MB X16 Graphics Card","152.80","Nvidia Quadro",2017-04-10
"33","Nvidia P162 Video Card Quadro Fx500 128Mb","40.00","Nvidia Quadro",2017-04-10
"34","Power Mac G5 Nvidia 512mb Quadro Fx 4500 (Pci Express) Video Card","119.49","Nvidia Quadro",2017-04-10
"35","HP Quadro FX1400 128MB PCIe 376006-002 Card 395817-001","187.84","Nvidia Quadro",2017-04-10
"36","NVIDIA NVS 300 by PNY 512MB GDDR3 PCI Express Gen 2 x16 DMS-59 to Dual DVI-I SL or VGA Profesional Business Graphics Board, VCNVX300X16-PB","39.65","Nvidia Quadro",2017-04-10
"37","PNY Video Card Graphics Cards VCQK420-PB","101.49","Nvidia Quadro",2017-04-10
"38","NVIDIA QUADRO FX5800 PNY NVIDIA Quadro 5800 VCQFX5800-PCIE Graphics Card DVI PCI Expr","299.98","Nvidia Quadro",2017-04-10
"39","NVIDIA Graphics Card E5Z76AT","719.53","Nvidia Quadro",2017-04-10
