"","Product_Name","Price","Brand","Date"
"1","PNY Video Graphic Cards VCQM2000-PB","391.24","Nvidia Quadro",2017-04-12
"2","PNY NVIDIA Quadro K2200 Graphics Cards VCQK2200-PB","402.02","Nvidia Quadro",2017-04-12
"3","NVIDIA NVS 310 by PNY 512MB DDR3 PCI Express Gen 2 x16 DisplayPort 1.2 Multi-Display Professional Graphics Board, VCNVS310DP-PB","81.99","Nvidia Quadro",2017-04-12
"4","PNY NVIDIA Quadro M6000 12GB GDDR5 PCIe 3.0 GPU (VCQM6000-PB)","3399.99","Nvidia Quadro",2017-04-12
"5","PNY Video Card Graphics Cards VCQK620-PB","147.49","Nvidia Quadro",2017-04-12
"6","Genuine NVIDIA Quadro 600 PCI-E VIDEO CARD Desktop 1GB NVA-P1033-000","65.99","Nvidia Quadro",2017-04-12
"7","NVIDIA NVS 310 by PNY 512MB DDR3 PCI Express Gen 2 x16 DisplayPort 1.2 and DVI-D SL Mllti-Display Professional Graphics Board, VCNVS310DVI-PB","91.03","Nvidia Quadro",2017-04-12
"8","PNY NVIDIA Quadro NVS 510 2GB GDDR3 4-Mini DisplayPort Low Profile PCI-Express Video Card VCNVS510DVI-PB","361.42","Nvidia Quadro",2017-04-12
"9","NVIDIA Graphics Card J3G90AT","899.99","Nvidia Quadro",2017-04-12
"10","PNY NVIDIA VCQ410-PB Quadro 410 512MB Low Profile PCIe GPU Video Card","169.00","Nvidia Quadro",2017-04-12
"11","Nvidia Quadro K5200 8GB 256-bit PCIe x16 Computer Video Card GPU Dell R93GX",NA,"Nvidia Quadro",2017-04-12
"12","HP 701980-001 NVIDIA Quadro K5000 4GB GDDR5 PCI-e graphics card - With 1 Dual Link DVI-D, 1 Dual Link DVI-I, and 2 DisplayPort 1.2 ports","695.99","Nvidia Quadro",2017-04-12
"13","NVIDIA Graphics Card 4X60G69026","899.99","Nvidia Quadro",2017-04-12
"14","PNY Video Graphics Cards VCQM4000-PB","789.15","Nvidia Quadro",2017-04-12
"15","NVIDIA Quadro FX 580 by PNY 512MB GDDR3 PCI Express Gen 2 x16 DVI-I DL and Dual DisplayPort OpenGL, DirectX, CUDA and OpenCL Profesional Graphics Board, VCQFX580-PCIE-PB",NA,"Nvidia Quadro",2017-04-12
"16","PNY PCI-Express Video Card Graphics Cards VCQK420-2GB-PB","112.74","Nvidia Quadro",2017-04-12
"17","PNY NVIDIA Quadro NVS 315 1GB DDR3 DMS-59 Low Profile PCI-Express Video Card (VCNVS315DVI-PB)","68.97","Nvidia Quadro",2017-04-12
"18","PNY PCI-Express Video Card VCNVS310DP-1GB-PB","90.54","Nvidia Quadro",2017-04-12
"19","HP 713380-001 NVIDIA Quadro K2000 2GB GDDR5 PCI-e graphics card","152.00","Nvidia Quadro",2017-04-12
"20","PNY NVIDIA Quadro K1200 - ( VCQK1200DP-PB)","314.49","Nvidia Quadro",2017-04-12
"21","HP NVIDIA Graphics Card Low Profile J3G87AT","162.50","Nvidia Quadro",2017-04-12
"22","PNY Video Card VCQM6000-24GB-PB Quadro M6000 24GB GDDR5 PCIE3.0 DPx4/DVI-I DL","4529.00","Nvidia Quadro",2017-04-12
"23","PNY PCI-Express Video Card VCNVS310DVI-1GB-PB","103.75","Nvidia Quadro",2017-04-12
"24","SMART BUY KD506UT Nvidia Quadro Fx3700 512 MB Card Graphics Card","85.00","Nvidia Quadro",2017-04-12
"25","NVIDIA Graphics Card C2J93AT","443.17","Nvidia Quadro",2017-04-12
"26","HP Quadro NVS 310 Graphic Card - 512 MB A7U59AA","47.00","Nvidia Quadro",2017-04-12
"27","HP Quadro K5000 Graphic Card - 4 GB GDDR5 SDRAM - PCI Express 2.0 x16 - Full-height","699.55","Nvidia Quadro",2017-04-12
"28","HP J3G88AT Commercial Specialty Quadro K2200 4GB Graphics Cards","482.83","Nvidia Quadro",2017-04-12
"29","PNY NVIDIA Quadro K1200 - (VCQK1200DVI-PB)","316.57","Nvidia Quadro",2017-04-12
"30","NVIDIA Low Profile Graphics Cards E1U66AT","114.99","Nvidia Quadro",2017-04-12
"31","Nvs 300 Pcie 512MB X16 Graphics Card","151.16","Nvidia Quadro",2017-04-12
"32","Nvidia P162 Video Card Quadro Fx500 128Mb","40.00","Nvidia Quadro",2017-04-12
"33","BOSCH SECURITY VIDEO MHW-AWGC-Q4000 Quadro 4000 Graphic Card, 2 Gb","1744.74","Nvidia Quadro",2017-04-12
"34","Power Mac G5 Nvidia 512mb Quadro Fx 4500 (Pci Express) Video Card","119.49","Nvidia Quadro",2017-04-12
"35","HP Quadro FX1400 128MB PCIe 376006-002 Card 395817-001","187.84","Nvidia Quadro",2017-04-12
"36","PNY NVIDIA Quadro 5000 VCQ5000-PB, 2.50 GB GDDR5 PCI Express Gen 2 x16 DVI-I DL Dual DisplayPort and Stereo OpenGL, DirectX, CUDA, and OpenCL Profesional Graphics Board","1635.64","Nvidia Quadro",2017-04-12
"37","NVIDIA QUADRO FX5800 PNY NVIDIA Quadro 5800 VCQFX5800-PCIE Graphics Card DVI PCI Expr","299.98","Nvidia Quadro",2017-04-12
"38","NVIDIA Graphics Card E5Z76AT","719.53","Nvidia Quadro",2017-04-12
"39","HP NVIDIA NVS 510 2GB GFX Card (C2J98AT)","174.99","Nvidia Quadro",2017-04-12
"40","Nvidia Quadro FX3450","135.75","Nvidia Quadro",2017-04-12
"41","PNY Video Card Graphics Cards VCQK420-PB","101.49","Nvidia Quadro",2017-04-12
"42","PNY Quadro FX3700 512 MB GDDR3 PCI-E Video Card VCQFX3700-PCIE-PB","105.20","Nvidia Quadro",2017-04-12
"43","PNY NVIDIA Quadro M5000",NA,"Nvidia Quadro",2017-04-12
"44","NVIDIA Quadro 2000D by PNY 1GB GDDR5 PCI Express Gen 2 x16 Dual DVI-I DL OpenGL, DirectX, CUDA, and OpenCL Profesional Graphics Board, VCQ2000D-PB","259.55","Nvidia Quadro",2017-04-12
"45","PNY Video Card Graphics Cards VCQK4200-PB","1249.00","Nvidia Quadro",2017-04-12
"46","NVIDIA QUADRO FX5600 PCI-E 1.5GB Graphics Card","228.95","Nvidia Quadro",2017-04-12
"47","PNY NVIDIA Quadro K5200 8GB GDDR5 PCIe3.0 GPU Graphics Card (VCQK5200-PB)","1800.26","Nvidia Quadro",2017-04-12
"48","NVIDIA Quadro 400 by PNY 512MB DDR3 PCI Express Gen 2 x16 DVI-I DL and DisplayPort OpenGL, DirectX, and CUDA Profesional Graphics Board, VCQ400-PB","118.35","Nvidia Quadro",2017-04-12
"49","PNY Quadro FX5600 1.5 GB GDDR3 PCI-E Video Card VCQFX5600-PCIE-PB","1172.08","Nvidia Quadro",2017-04-12
