"","Product_Name","Price","Brand","Date"
"1","PNY NVIDIA Quadro K2200 Graphics Cards VCQK2200-PB","402.02","Nvidia Quadro",2017-04-19
"2","PNY Video Graphic Cards VCQM2000-PB","396.09","Nvidia Quadro",2017-04-19
"3","PNY Video Graphics Cards VCQM4000-PB","789.15","Nvidia Quadro",2017-04-19
"4","NVIDIA NVS 310 by PNY 512MB DDR3 PCI Express Gen 2 x16 DisplayPort 1.2 Multi-Display Professional Graphics Board, VCNVS310DP-PB","81.99","Nvidia Quadro",2017-04-19
"5","PNY NVIDIA Quadro NVS 315 1GB DDR3 DMS-59 Low Profile PCI-Express Video Card (VCNVS315DVI-PB)","89.97","Nvidia Quadro",2017-04-19
"6","PNY Video Card Graphics Cards VCQK620-PB","147.49","Nvidia Quadro",2017-04-19
"7","PNY NVIDIA Quadro K1200 - ( VCQK1200DP-PB)","303.48","Nvidia Quadro",2017-04-19
"8","PNY NVIDIA Quadro NVS 510 2GB GDDR3 4-Mini DisplayPort Low Profile PCI-Express Video Card VCNVS510DVI-PB","360.44","Nvidia Quadro",2017-04-19
"9","NVIDIA Graphics Card J3G90AT","899.99","Nvidia Quadro",2017-04-19
"10","PNY NVIDIA VCQ410-PB Quadro 410 512MB Low Profile PCIe GPU Video Card","169.00","Nvidia Quadro",2017-04-19
"11","Nvidia Quadro K5200 8GB 256-bit PCIe x16 Computer Video Card GPU Dell R93GX",NA,"Nvidia Quadro",2017-04-19
"12","NVIDIA NVS 310 by PNY 512MB DDR3 PCI Express Gen 2 x16 DisplayPort 1.2 and DVI-D SL Mllti-Display Professional Graphics Board, VCNVS310DVI-PB","91.03","Nvidia Quadro",2017-04-19
"13","HP Quadro NVS 310 Graphic Card - 512 MB A7U59AA","47.00","Nvidia Quadro",2017-04-19
"14","Nvidia P162 Video Card Quadro Fx500 128Mb","40.00","Nvidia Quadro",2017-04-19
"15","NVIDIA Quadro FX 580 by PNY 512MB GDDR3 PCI Express Gen 2 x16 DVI-I DL and Dual DisplayPort OpenGL, DirectX, CUDA and OpenCL Profesional Graphics Board, VCQFX580-PCIE-PB",NA,"Nvidia Quadro",2017-04-19
"16","PNY PCI-Express Video Card VCNVS310DP-1GB-PB","90.46","Nvidia Quadro",2017-04-19
"17","HP 713380-001 NVIDIA Quadro K2000 2GB GDDR5 PCI-e graphics card","152.00","Nvidia Quadro",2017-04-19
"18","PNY PCI-Express Video Card Graphics Cards VCQK420-2GB-PB","112.74","Nvidia Quadro",2017-04-19
"19","HP 462600-001 HP nVidia Quadro FX 3700 FX3700 PCI-E 512MB, OEM Graphics Video","124.40","Nvidia Quadro",2017-04-19
"20","HP NVIDIA Graphics Card Low Profile J3G87AT","162.50","Nvidia Quadro",2017-04-19
"21","SMART BUY KD506UT Nvidia Quadro Fx3700 512 MB Card Graphics Card","85.00","Nvidia Quadro",2017-04-19
"22","HP 701980-001 NVIDIA Quadro K5000 4GB GDDR5 PCI-e graphics card - With 1 Dual Link DVI-D, 1 Dual Link DVI-I, and 2 DisplayPort 1.2 ports","695.99","Nvidia Quadro",2017-04-19
"23","PNY PCI-Express Video Card VCNVS310DVI-1GB-PB","103.75","Nvidia Quadro",2017-04-19
"24","HP Quadro K5000 Graphic Card - 4 GB GDDR5 SDRAM - PCI Express 2.0 x16 - Full-height","699.55","Nvidia Quadro",2017-04-19
"25","IBM 33L3543 Nvidia Quadro4 200 NVS 64MB SDRAM AGP 4x Graphics Card","49.95","Nvidia Quadro",2017-04-19
"26","Genuine NVIDIA Quadro 600 PCI-E VIDEO CARD Desktop 1GB NVA-P1033-000","65.99","Nvidia Quadro",2017-04-19
"27","HP J3G88AT Commercial Specialty Quadro K2200 4GB Graphics Cards","494.41","Nvidia Quadro",2017-04-19
"28","NVIDIA Graphics Card C2J93AT","443.18","Nvidia Quadro",2017-04-19
"29","BOSCH SECURITY VIDEO MHW-AWGC-Q4000 Quadro 4000 Graphic Card, 2 Gb","1744.74","Nvidia Quadro",2017-04-19
"30","PNY NVIDIA Quadro K1200 - (VCQK1200DVI-PB)","316.57","Nvidia Quadro",2017-04-19
"31","NVIDIA Graphics Card 4X60G69026","899.99","Nvidia Quadro",2017-04-19
"32","PNY NVIDIA Quadro 5000 VCQ5000-PB, 2.50 GB GDDR5 PCI Express Gen 2 x16 DVI-I DL Dual DisplayPort and Stereo OpenGL, DirectX, CUDA, and OpenCL Profesional Graphics Board","1635.36","Nvidia Quadro",2017-04-19
"33","HP Quadro FX1400 128MB PCIe 376006-002 Card 395817-001","187.84","Nvidia Quadro",2017-04-19
"34","PNY Video Card Graphics Cards VCQK420-PB","106.26","Nvidia Quadro",2017-04-19
"35","NVIDIA Low Profile Graphics Cards E1U66AT","101.74","Nvidia Quadro",2017-04-19
"36","NVIDIA QUADRO FX5800 PNY NVIDIA Quadro 5800 VCQFX5800-PCIE Graphics Card DVI PCI Expr","299.98","Nvidia Quadro",2017-04-19
"37","NVIDIA Graphics Card E5Z76AT","720.99","Nvidia Quadro",2017-04-19
"38","Nvidia Quadro FX3450","135.75","Nvidia Quadro",2017-04-19
"39","Nvs 300 Pcie 512MB X16 Graphics Card","151.16","Nvidia Quadro",2017-04-19
"40","PNY Quadro FX3700 512 MB GDDR3 PCI-E Video Card VCQFX3700-PCIE-PB","105.20","Nvidia Quadro",2017-04-19
"41","NVIDIA Quadro 2000D by PNY 1GB GDDR5 PCI Express Gen 2 x16 Dual DVI-I DL OpenGL, DirectX, CUDA, and OpenCL Profesional Graphics Board, VCQ2000D-PB","259.55","Nvidia Quadro",2017-04-19
"42","NVIDIA QUADRO FX5600 PCI-E 1.5GB Graphics Card",NA,"Nvidia Quadro",2017-04-19
"43","HP Quadro NVS 315 Graphic Card - 1 GB DDR3 SDRAM - PCI Express x16 - Low-profile","97.04","Nvidia Quadro",2017-04-19
"44","NVIDIA Quadro K5000 4GB GDDR5 PCI-E 2.0 x16 Video Card With Dispalyport and DVI Outputs","695.00","Nvidia Quadro",2017-04-19
"45","HP NVIDIA NVS 510 2GB GFX Card (C2J98AT)","291.42","Nvidia Quadro",2017-04-19
"46","PNY NVIDIA Quadro K5200 8GB GDDR5 PCIe3.0 GPU Graphics Card (VCQK5200-PB)","1800.26","Nvidia Quadro",2017-04-19
"47","PNY Quadro FX5600 1.5 GB GDDR3 PCI-E Video Card VCQFX5600-PCIE-PB","809.84","Nvidia Quadro",2017-04-19
"48","PNY Video Card Graphics Cards VCQK4200-PB","1249.00","Nvidia Quadro",2017-04-19
"49","Power Mac G5 Nvidia 512mb Quadro Fx 4500 (Pci Express) Video Card","99.99","Nvidia Quadro",2017-04-19
"50","Dell XPS M1710 Precision M90 Nvidia Quadro FX 2500M 512MB Video Graphics Card",NA,"Nvidia Quadro",2017-04-19
"51","Quadro 2000 PCIe x16 1GB GDDR5","74.99","Nvidia Quadro",2017-04-19
"52","Nvidia Quadro FX3700 Pcie 512MB Pcie Graphics","95.00","Nvidia Quadro",2017-04-19
"53","Smart Buy Nvidia Quadro FX5800 4GB Card","299.98","Nvidia Quadro",2017-04-19
"54","Nvidia Quadro FX570 256MB Pcie Card","40.99","Nvidia Quadro",2017-04-19
"55","Dell RN034 New nVidia Quadro FX1700 FX 1700 512MB PCIE PCI-Express Dual DVI Video Card","69.99","Nvidia Quadro",2017-04-19
"56","Lenovo 55Y8963 NVIDIA SLI Connector","7.99","Nvidia Quadro",2017-04-19
"57","nVidia Quadro FX3700 512MB PCI-e HP 462790-001 462790001","79.99","Nvidia Quadro",2017-04-19
"58","PNY VCQFX5500-PCIE-PB Quadro FX 5500 Professional Graphic Card","2478.10","Nvidia Quadro",2017-04-19
"59","nVIDIA Quadro FX 3700 GDDR3 DVI PCI-E X16 512MB Dell 0KY246 FX3700 Video Card",NA,"Nvidia Quadro",2017-04-19
"60","Nvidia FX3700 PCIE16 Dvi-i Dual Head with 512MB Ram","145.00","Nvidia Quadro",2017-04-19
"61","EVGA GeForce 8400 GS 1024MB DDR3 PCI-E 2.0 Graphics Card DVI/HDMI/VGA 01G-P3-1302-LR","32.23","Nvidia GeForce",2017-04-19
