"","Product_Name","Price","Brand","Date"
"1","PNY Video Card Graphics Cards VCQK620-PB","148.97","Nvidia Quadro",2017-04-06
"2","PNY NVIDIA Quadro K2200 Graphics Cards VCQK2200-PB","409.99","Nvidia Quadro",2017-04-06
"3","Genuine NVIDIA Quadro 600 PCI-E VIDEO CARD Desktop 1GB NVA-P1033-000","65.99","Nvidia Quadro",2017-04-06
"4","NVIDIA Graphics Card 4X60G69026","899.99","Nvidia Quadro",2017-04-06
"5","PNY NVIDIA VCQ410-PB Quadro 410 512MB Low Profile PCIe GPU Video Card","148.13","Nvidia Quadro",2017-04-06
"6","NVIDIA NVS 310 by PNY 512MB DDR3 PCI Express Gen 2 x16 DisplayPort 1.2 and DVI-D SL Mllti-Display Professional Graphics Board, VCNVS310DVI-PB","91.03","Nvidia Quadro",2017-04-06
"7","NVIDIA NVS 310 by PNY 512MB DDR3 PCI Express Gen 2 x16 DisplayPort 1.2 Multi-Display Professional Graphics Board, VCNVS310DP-PB","81.99","Nvidia Quadro",2017-04-06
"8","PNY NVIDIA Quadro M6000 12GB GDDR5 PCIe 3.0 GPU (VCQM6000-PB)","3399.99","Nvidia Quadro",2017-04-06
"9","PNY NVIDIA Quadro NVS 315 1GB DDR3 DMS-59 Low Profile PCI-Express Video Card (VCNVS315DVI-PB)","68.97","Nvidia Quadro",2017-04-06
"10","PNY Video Graphic Cards VCQM2000-PB","399.99","Nvidia Quadro",2017-04-06
"11","PNY NVIDIA Quadro NVS 510 2GB GDDR3 4-Mini DisplayPort Low Profile PCI-Express Video Card VCNVS510DVI-PB","361.42","Nvidia Quadro",2017-04-06
"12","NVIDIA Graphics Card J3G90AT","899.99","Nvidia Quadro",2017-04-06
"13","PNY Video Graphics Cards VCQM4000-PB","789.15","Nvidia Quadro",2017-04-06
"14","NVIDIA Quadro K5000 4GB GDDR5 Graphics card (PNY Part #: VCQK5000-PB)","1670.44","Nvidia Quadro",2017-04-06
"15","NVIDIA Quadro FX 580 by PNY 512MB GDDR3 PCI Express Gen 2 x16 DVI-I DL and Dual DisplayPort OpenGL, DirectX, CUDA and OpenCL Profesional Graphics Board, VCQFX580-PCIE-PB",NA,"Nvidia Quadro",2017-04-06
"16","PNY PCI-Express Video Card VCNVS310DP-1GB-PB","90.61","Nvidia Quadro",2017-04-06
"17","PNY PCI-Express Video Card Graphics Cards VCQK420-2GB-PB","112.74","Nvidia Quadro",2017-04-06
"18","PNY NVIDIA Quadro K1200 - ( VCQK1200DP-PB)","317.66","Nvidia Quadro",2017-04-06
"19","HP 713380-001 NVIDIA Quadro K2000 2GB GDDR5 PCI-e graphics card","159.20","Nvidia Quadro",2017-04-06
"20","PNY Video Card VCQM6000-24GB-PB Quadro M6000 24GB GDDR5 PCIE3.0 DPx4/DVI-I DL","4529.00","Nvidia Quadro",2017-04-06
"21","HP NVIDIA Graphics Card Low Profile J3G87AT","162.50","Nvidia Quadro",2017-04-06
"22","SMART BUY KD506UT Nvidia Quadro Fx3700 512 MB Card Graphics Card","85.00","Nvidia Quadro",2017-04-06
"23","NVIDIA Graphics Card C2J93AT","443.14","Nvidia Quadro",2017-04-06
"24","Nvidia Quadro K5200 8GB 256-bit PCIe x16 Computer Video Card GPU Dell R93GX",NA,"Nvidia Quadro",2017-04-06
"25","PNY PCI-Express Video Card VCNVS310DVI-1GB-PB","103.75","Nvidia Quadro",2017-04-06
"26","IBM 33L3543 Nvidia Quadro4 200 NVS 64MB SDRAM AGP 4x Graphics Card","49.95","Nvidia Quadro",2017-04-06
"27","HP J3G88AT Commercial Specialty Quadro K2200 4GB Graphics Cards","488.19","Nvidia Quadro",2017-04-06
"28","BOSCH SECURITY VIDEO MHW-AWGC-Q4000 Quadro 4000 Graphic Card, 2 Gb","1744.74","Nvidia Quadro",2017-04-06
"29","Nvidia P162 Video Card Quadro Fx500 128Mb","40.00","Nvidia Quadro",2017-04-06
"30","Nvs 300 Pcie 512MB X16 Graphics Card","152.80","Nvidia Quadro",2017-04-06
"31","HP Quadro FX1400 128MB PCIe 376006-002 Card 395817-001","187.84","Nvidia Quadro",2017-04-06
"32","PNY NVIDIA Quadro 5000 VCQ5000-PB, 2.50 GB GDDR5 PCI Express Gen 2 x16 DVI-I DL Dual DisplayPort and Stereo OpenGL, DirectX, CUDA, and OpenCL Profesional Graphics Board","1636.87","Nvidia Quadro",2017-04-06
"33","NVIDIA QUADRO FX5800 PNY NVIDIA Quadro 5800 VCQFX5800-PCIE Graphics Card DVI PCI Expr","299.98","Nvidia Quadro",2017-04-06
"34","NVIDIA Graphics Card E5Z76AT","719.53","Nvidia Quadro",2017-04-06
"35","HP NVIDIA NVS 510 2GB GFX Card (C2J98AT)","186.00","Nvidia Quadro",2017-04-06
"36","Power Mac G5 Nvidia 512mb Quadro Fx 4500 (Pci Express) Video Card","119.49","Nvidia Quadro",2017-04-06
"37","Nvidia Quadro FX3450","135.75","Nvidia Quadro",2017-04-06
"38","PNY Quadro FX3700 512 MB GDDR3 PCI-E Video Card VCQFX3700-PCIE-PB","105.20","Nvidia Quadro",2017-04-06
"39","PNY Video Card Graphics Cards VCQK4200-PB","1249.00","Nvidia Quadro",2017-04-06
"40","PNY Video Card Graphics Cards VCQK420-PB","101.97","Nvidia Quadro",2017-04-06
"41","NVIDIA QUADRO FX5600 PCI-E 1.5GB Graphics Card","228.95","Nvidia Quadro",2017-04-06
"42","NVIDIA Quadro 2000D by PNY 1GB GDDR5 PCI Express Gen 2 x16 Dual DVI-I DL OpenGL, DirectX, CUDA, and OpenCL Profesional Graphics Board, VCQ2000D-PB","397.69","Nvidia Quadro",2017-04-06
"43","PNY NVIDIA Quadro K5200 8GB GDDR5 PCIe3.0 GPU Graphics Card (VCQK5200-PB)","1800.26","Nvidia Quadro",2017-04-06
"44","PNY NVIDIA Quadro K1200 - (VCQK1200DVI-PB)","316.57","Nvidia Quadro",2017-04-06
"45","NVIDIA Quadro 400 by PNY 512MB DDR3 PCI Express Gen 2 x16 DVI-I DL and DisplayPort OpenGL, DirectX, and CUDA Profesional Graphics Board, VCQ400-PB","117.39","Nvidia Quadro",2017-04-06
"46","PNY Quadro FX5600 1.5 GB GDDR3 PCI-E Video Card VCQFX5600-PCIE-PB","1795.13","Nvidia Quadro",2017-04-06
"47","HP Quadro NVS 315 Graphic Card - 1 GB DDR3 SDRAM - PCI Express x16 - Low-profile","97.04","Nvidia Quadro",2017-04-06
"48","Quadro 2000 PCIe x16 1GB GDDR5","78.00","Nvidia Quadro",2017-04-06
"49","Dell XPS M1710 Precision M90 Nvidia Quadro FX 2500M 512MB Video Graphics Card","99.99","Nvidia Quadro",2017-04-06
"50","Nvidia Quadro FX3700 Pcie 512MB Pcie Graphics","95.00","Nvidia Quadro",2017-04-06
"51","Dell RN034 New nVidia Quadro FX1700 FX 1700 512MB PCIE PCI-Express Dual DVI Video Card","129.75","Nvidia Quadro",2017-04-06
"52","Nvidia Quadro FX570 256MB Pcie Card","40.99","Nvidia Quadro",2017-04-06
"53","nVidia Quadro FX3700 512MB PCI-e HP 462790-001 462790001","79.99","Nvidia Quadro",2017-04-06
"54","NVIDIA Quadro K4000 3GB GDDR5 Graphics card (PNY Part #: VCQK4000-PB)","1249.00","Nvidia Quadro",2017-04-06
"55","PNY VCQFX5500-PCIE-PB Quadro FX 5500 Professional Graphic Card","2369.65","Nvidia Quadro",2017-04-06
"56","nVIDIA Quadro FX 3700 GDDR3 DVI PCI-E X16 512MB Dell 0KY246 FX3700 Video Card",NA,"Nvidia Quadro",2017-04-06
"57","Lenovo 55Y8963 NVIDIA SLI Connector","7.69","Nvidia Quadro",2017-04-06
"58","Nvidia FX3700 PCIE16 Dvi-i Dual Head with 512MB Ram","145.00","Nvidia Quadro",2017-04-06
"59","Quadro FX350 Pcie 64MB DDR2 Nvidia Gpu Dvi-sl+VGA Rohs","98.95","Nvidia Quadro",2017-04-06
"60","HP 462600-001 HP nVidia Quadro FX 3700 FX3700 PCI-E 512MB, OEM Graphics Video","124.40","Nvidia Quadro",2017-04-06
"61","EVGA GeForce 8400 GS 1024MB DDR3 PCI-E 2.0 Graphics Card DVI/HDMI/VGA 01G-P3-1302-LR","32.23","Nvidia GeForce",2017-04-06
"62","EVGA GeForce GT 610 2048MB DDR3, DVI, VGA and HDMI Graphics Card (02G-P3-2619-KR)","44.99","Nvidia GeForce",2017-04-06
"63","EVGA GeForce GT 730 4GB DDR3 128bit Dual DVI mHDMI Graphics Cards 04G-P3-2739-KR","77.99","Nvidia GeForce",2017-04-06
"64","EVGA GeForce 210 1024 MB DDR3 PCI Express 2.0 DVI/HDMI/VGA Graphics Card, 01G-P3-1312-LR","29.99","Nvidia GeForce",2017-04-06
"65","Gigabyte GT 420 2GB 128-Bit DDR3 PCI Express 2.0 x 16 ATX Video Graphics Cards GV-N420-2GI REV3","42.99","Nvidia GeForce",2017-04-06
"66","Amazon's Choicefor ""graphics card""EVGA GeForce GTX 750 Ti FTW DVI-I/HDMI/Display Port GDDR5 Graphics Card with ACX Cooling 02G-P4-3757-KR","129.99","Nvidia GeForce",2017-04-06
"67","Gigabyte Graphics Cards GV-N75TWF2OC-4GI","114.99","Nvidia GeForce",2017-04-06
"68","ASUS GeForce 210 1GB 64-bit DDR3 PCI Express 2.0 x16 Low Profile Ready Video Card, EN210 SILENT/DI/1GD3/V2(LP)","34.99","Nvidia GeForce",2017-04-06
"69","ASUS GT 710 2GB DDR3 64bit Dual Slot, Passive Low Profile Graphics Cards, Blue/Silver 710-2-SL-CSM","39.99","Nvidia GeForce",2017-04-06
"70","PNY GeForce 8400 GS 512MB Graphics Cards VCG84512D3SXPB","9.99","Nvidia GeForce",2017-04-06
"71","MSI Computer VGA Graphic Card GT 710 2GD3 LP","39.99","Nvidia GeForce",2017-04-06
"72","Gigabyte Gaming Graphics Cards GV-N730-2GI","59.90","Nvidia GeForce",2017-04-06
"73","Inno3D Nvidia-Geforce GT 730 4GB DDR3 HDMI DVI VGA video-card PCI-express x16 graphics HD 1080P windows 8/7/vista/XP","88.75","Nvidia GeForce",2017-04-06
"74","ZOTAC GeForce GT 710 2GB DDR3 PCI-E2.0 DL-DVI VGA HDMI Passive Cooled Single Slot Low Profile Graphics Card (ZT-71302-20L)","42.99","Nvidia GeForce",2017-04-06
"75","EVGA GT 710 2GB DDR3 64bit Single Slot, Dual DVI 02G-P3-2717-KR","43.99","Nvidia GeForce",2017-04-06
"76","MSI GeForce GT 730 Fermi DDR3 4GB DirectX 12 (N730-4GD3V2)","80.99","Nvidia GeForce",2017-04-06
"77","EVGA GeForce GTX 1070 SC GAMING ACX 3.0, 8GB GDDR5, LED, DX12 OSD Support (PXOC) Graphics Card 08G-P4-6173-KR","407.99","Nvidia GeForce",2017-04-06
"78","EVGA GeForce GTX 1080 Founders Edition, 8GB GDDR5X, LED, DX12 OSD Support (PXOC) Graphics Card 08G-P4-6180-KR","549.88","Nvidia GeForce",2017-04-06
"79","MSI Computer Corp. NVIDIA GeForce GTX 750 Ti Gaming OC 2GB GDDR5 VGA/DVI/HDMI PCI-Express Video Card N750TI TF 2GD5/OC","129.95","Nvidia GeForce",2017-04-06
"80","MSI Gaming GeForce GTX 1070 8GB GDDR5 SLI DirectX 12 VR Ready Graphics Card (GTX 1070 GAMING X 8G)","409.30","Nvidia GeForce",2017-04-06
"81","ASUS GeForce GTX 1070 8GB ROG STRIX OC Edition Graphic Card STRIX-GTX1070-O8G-GAMING","424.85","Nvidia GeForce",2017-04-06
"82","ASUS NVIDIA GeForce GTX 750 Ti GDDR5 2GB PCI Express 3.0 128-bit Graphics Card (GTX750TI-OC-2GD5)","150.00","Nvidia GeForce",2017-04-06
"83","EVGA GeForce GTX 960 4GB SSC GAMING ACX 2.0+, Whisper Silent Cooling w/ Free Installed Backplate Graphics Card 04G-P4-3967-KR","229.99","Nvidia GeForce",2017-04-06
"84","Gigabyte GeForce GTX 1070 G1 Gaming Video/Graphics Cards GV-N1070G1 GAMING-8GD","400.94","Nvidia GeForce",2017-04-06
"85","ASUS GeForce GTX 1080 8GB ROG STRIX Graphics Card (STRIX-GTX1080-8G-GAMING)","559.99","Nvidia GeForce",2017-04-06
"86","ASUS Corporate Stable Model 2 GB Graphics Cards GT610-2GD3-CSM","62.40","Nvidia GeForce",2017-04-06
"87","MSI GAMING GeForce GTX 970 4GB OC DirectX 12 VR READY (GTX 970 GAMING 4G)","359.99","Nvidia GeForce",2017-04-06
"88","ZOTAC GeForce GTX 750Ti 2GB GDDR5 PCI Express 3.0 DVI HDMI DisplayPort Video Graphics Card (ZT-70605-10M)","169.99","Nvidia GeForce",2017-04-06
"89","EVGA GeForce GTX 970 4GB SSC Gaming ACX 2.0+ Cooling Graphics Card (04G-P4-3975-KR)",NA,"Nvidia GeForce",2017-04-06
"90","EVGA GeForce GTX 950 2GB FTW GAMING, Silent Cooling Graphics Card 02G-P4-2958-KR",NA,"Nvidia GeForce",2017-04-06
"91","MSI GAMING GTX 960 4GB OC Twin Frozr-V HDCP Ready SLI Support (GTX 960 GAMING 4G)","249.99","Nvidia GeForce",2017-04-06
"92","PNY GeForce GT 730 2GB DDR3 Graphics Card (VCGGT7302D3LXPB)","69.99","Nvidia GeForce",2017-04-06
"93","MSI Computer Video Graphics Card N610-2GD3H/LP","46.99","Nvidia GeForce",2017-04-06
"94","PNY Video Card VCGGT710XPB","29.79","Nvidia GeForce",2017-04-06
"95","Gigabyte 210 DDR3-1GB DVI/D-SUB/HDMI LP Graphics Cards GV-N210D3-1GI REV6.0","29.99","Nvidia GeForce",2017-04-06
"96","MSI GeForce GT 730 Kepler GDDR5 2GB OC Low Profile Ready DirectX 12 (N730K-2GD5LP/OC)","69.99","Nvidia GeForce",2017-04-06
"97","ZOTAC GeForce GT 730 Zone Edition 4GB DDR3 PCI Express 2.0 x16 (x8 lanes) Graphics Card (ZT-71115-20L)","82.36","Nvidia GeForce",2017-04-06
"98","EVGA GeForce GTX TITAN X 12GB GAMING, Play 4k with Ease Graphics Card 12G-P4-2990-KR","1899.99","Nvidia GeForce",2017-04-06
"99","MSI Gaming GeForce GTX 1080 8GB GDDR5X SLI DirectX 12 VR Ready Graphics Card (GTX 1080 GAMING X 8G)","574.99","Nvidia GeForce",2017-04-06
"100","EVGA GeForce 6200 512 MB DDR2 AGP 8X VGA/DVI-I/S-Video Graphics Card, 512-A8-N403-LR","39.99","Nvidia GeForce",2017-04-06
"101","Inno3D Nvidia Geforce GT 730 LP 4GB DDR3 HDMI DVI VGA 128 Bit Video Graphics Card, PCI Express x16 HD 1080P Low Profile","94.75","Nvidia GeForce",2017-04-06
"102","ASUS Graphics Cards GT730-2GD3-CSM","62.99","Nvidia GeForce",2017-04-06
"103","PNY Video Card Graphic Cards VCGGTX10808PB-CG","494.97","Nvidia GeForce",2017-04-06
"104","ZOTAC GeForce 8400 GS 512 MB 64-Bit DDR2 PCI Express 2.0 x16 HDCP Ready Low Profile Ready Video Card (ZT-84MEH4M-FSL)","38.00","Nvidia GeForce",2017-04-06
"105","PNY GEFORCE GT 610 2GB Graphics Card (VCGGT6102XPB)","52.49","Nvidia GeForce",2017-04-06
"106","ZOTAC NVIDIA GeForce GT 610 Synergy Edition 2GB GDDR3 VGA/DVI/HDMI PCI-Express Video Card ZT-60601-10L","59.99","Nvidia GeForce",2017-04-06
"107","NVIDIA Graphics Card - Low Profile N3R90AA","124.49","Nvidia GeForce",2017-04-06
"108","INNO3D NVIDIA Geforce GTX 970OC 4GB video graphics card 3x Air Boss cooling fan premium overclocked Dual DVI 3x Display port 256bit","389.00","Nvidia GeForce",2017-04-06
"109","Gigabyte GeForce GTX 980 4GB GDDR5 PCiE Graphics Cards GV-N980WF3-4GD","479.99","Nvidia GeForce",2017-04-06
